////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
//	[Script]	ArcaBattleScript.txt
//	[ Text  Version ]	1.0.0.4
//	[ 최종 작업자 ]	홍승욱
//	[ 최종 작업일 ]	2012-03-21 12:12
//	[ 작 업 내 용 ]	인덱스 4번 내용 수정 (점령시점까지 ==> 종료시점까지)
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
// 아르카쟁내 진행 UI 메시지		
//Index는 서버에서 전달 받는 진행 공지(메시지) 고유 번호이다.		
//Type 은 공지의 성격에 따라 공지의 색을 달리한다. (0 :노란색(일반공지), 1:파란색(우리길드점령), 2: 빨간색(다른길드점령), 3:노란색(시간정보를 받아오는 메시지 %d가 있는 메시지))		
//Text는 공지의 내용이다.		
//아르카쟁 진행 UI 메시지와 관련해서 변경사항(메시지 추가/삭제)이 발생할 경우 서버와 먼저 상의한다.		
		
//INDEX	Type	Text
0	0	"An Obelisk has been created on the hunting grounds. You have to conquer the Obelisk to win the Arca War."
1	2	"Another guild is trying to conquer the Obelisk. You have to stop them."
2	1	"The barrier was destroyed. Hurry and conquer the Obelisk."
3	2	"Another guild has conquered the Obelisk. You must hurry to reclaim it."
4	1	"Congratulations. You conquered the Obelisk. Defend it until the Arca War is over."
5	2	"The Obelisk was taken from you. Hurry and try to reclaim it."
6	3	"%d minutes left till the end of the Arca War."
7	3	"%d seconds left till the end of the Arca War."
8	3	"The Arca War is over. You will be taken back to the village in %d seconds."
9	3	"%d minutes are left until the Arca War channel closes. Please change to another channel."
10	3	"%d seconds are left until the Arca War channel closes. Please change to another channel."
11	3	"%d minutes left till the Arca War begins. You can form a party during the Arca War."
12	3	"%d seconds left till the Arca War begins. You can form a party during the Arca War."
