////////////////////////////////////////////////////////////////////////////////									
//	[ Text  Version ]	0.0.7.8							
//	[ 최종 작업자 ]	사재일							
//	[ 최종 작업일 ]	2015-08-11-04:53 PM							
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가							
////////////////////////////////////////////////////////////////////////////////									
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가									
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며									
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것									
									
									
//Index	Viewport index	Item Index		Name	Type	알림	Clear type	설명	
0
1	1	255	255	"Increase Attack Power"	0	1	1	"Increases attack power, wizardry and curse."	0
2	2	255	255	"Increase Defense"	0	1	1	"Increases defense."	0
3	3	255	255	"Shadow Phantom effect"	0	1	1	"Increases attack power, wizardry, curse and defense."	0
4	4	255	255	"Soul Barrier"	0	1	1	"Mana absorbs the damage."	0
5	5	255	255	"Critical Damage increase"	0	1	1	"Increases critical damage."	0
6	6	255	255	"Infinity Arrow"	0	0	1	"Arrows do not become consumed."	0
7	7	255	255	"AG recovery speed increase"	0	0	1	""	0
8	8	255	255	"Swell Life"	0	1	1	"Increases maximum HP."	0
9	9	255	255	"Swell Mana"	0	0	1	"Increases maximum Mana."	0
10	10	255	255	"Potion of Blessing"	0	0	1	"Increases attack power +20%."	0
11	11	255	255	"Potion of Soul"	0	0	1	"AG recovery speed increase +8/Lightning and Ice resistance increase/attack speed increase +20"	0
12	12	255	255	"Abolish Magic"	0	0	1	""	0
13	13	255	255	"Gate Open/Close Status"	0	1	1	""	0
14	14	255	255	"Watchtower"	0	1	1	"Watching over the castle."	0
15	14	255	255	"Besiegement Guild1"	0	1	1	"In the process of attacking the castle"	0
16	14	255	255	"Besiegement Guild2"	0	1	1	"In the process of attacking the castle"	0
17	14	255	255	"Besiegement Guild3"	0	1	1	"In the process of attacking the castle"	0
18	15	255	255	"Invisibility"	0	1	1	"Transparency Status"	0
19	16	255	255	"Dark Rod Battle Skill"	0	0	1	""	0
20	17	255	255	"Crown Registration Status"	0	1	1	""	0
21	18	255	255	"Altar of Wolf contract enabled"	0	1	1	""	0
22	18	255	255	"Altar of Wolf contract disabled"	0	1	1	""	0
23	18	255	255	"Altar of Wolf contract Status"	0	1	1	""	0
24	18	255	255	"Altar of Wolf contract attempt"	0	1	1	""	0
25	18	255	255	"Altar of Wolf besiegement Status"	0	1	1	""	0
26	18	255	255	"Altar of Wolf hero contract Status"	0	1	1	""	0
27	19	255	255	"Cry Wolf NPC transparency"	0	1	1	""	0
28	20	255	255	"GM"	0	1	1	""	0
29	60	13	43	"Seal of Ascension"	0	0	1	"Increases EXP gain +20%."	0
30	61	13	44	"Seal of Wealth"	0	0	1	"Increases EXP gain +20%./Increases item drop +50%."	0
31	62	13	45	"Seal of Sustenance"	0	0	1	"EXP gain disabled"	0
32	22	255	255	"Temple - Spell of Quickness"	0	0	1	""	0
33	22	255	255	"Temple - Spell of Sublimation"	0	0	1	""	0
34	22	255	255	"Spell of Protection"	0	1	1	"Damage absorbed at 100%."	0
35	246	14	46	"[Increase]Jack O'Lantern Blessings"	0	0	1	"Increases attack speed +10."	0
36	247	14	47	"[Enhance]Wrath of Jack O' Lantern"	0	0	1	"Increases attack power, wizardry and curse +40."	0
37	247	14	48	"[Enhance]Jack O'Lantern Cry"	0	0	1	"Increases defense +100."	0
38	246	14	49	"[Increase]Jack O'Lantern Food"	0	0	1	"Increases maximum HP +700."	0
39	246	14	50	"[Increase]Jack O'Lantern Drink"	0	0	1	"Increases maximum Mana +700."	0
40	60	13	43	"Seal of Ascension"	0	1	1	"Increases EXP gain +20%."	0
41	61	13	44	"Seal of Wealth"	0	1	1	"Increases EXP gain +20% and item gain +50%."	0
42	65	13	45	"Seal of Sustenance"	0	1	1	"EXP gain disabled"	0
43	57	13	59	"Seal of Mobility"	0	1	1	"Mobility enabled"	0
44	67	14	72	"Scroll of Quickness"	0	1	1	"Increases attack speed +20."	0
45	68	14	73	"Scroll of Defense"	0	1	1	"Increases defense +120."	0
46	69	14	74	"Scroll of Wrath"	0	1	1	"Increases attack power +60."	0
47	70	14	75	"Scroll of Wizardry"	0	1	1	"Increases wizardry +60."	0
48	71	14	76	"Scroll of Health"	0	1	1	"Increases maximum HP +400."	0
49	72	14	77	"Scroll of Mana"	0	1	1	"Increases maximum Mana +600."	0
50	26	14	78	"Elixir of Strength"	0	1	1	"Increases strength +50."	0
51	26	14	79	"Elixir of Agility"	0	1	1	"Increases agility +50."	0
52	26	14	80	"Elixir of Health"	0	1	1	"Increases vitality +50."	0
53	26	14	81	"Elixir of Energy"	0	1	1	"Increases energy +50."	0
54	26	14	82	"Elixir of Leadership"	0	1	1	"Increases leadership +50."	0
55	27	255	255	"Poison"	1	1	1	"Poisoned status of condition"	0
56	28	255	255	"Ice"	1	1	1	"Mobility speed decreases."	0
57	29	255	255	"Iced Arrow"	1	1	1	"Mobility disabled"	0
58	30	255	255	"Defensibility reduction"	1	1	1	"Random defensibility decreases at 10%."	0
59	31	255	255	"Attack power reduction"	1	0	1	""	0
60	32	255	255	"Wizardry increase reduction"	1	0	1	""	0
61	33	255	255	"Stun"	1	1	1	"Mobility disabled"	0
62	34	255	255	"Magic Defense"	1	0	1	""	0
63	35	255	255	"Monster Magic Attack Resistance"	1	1	1	""	0
64	36	255	255	"Monster Chemistry Attack Resistance"	1	1	1	""	0
65	37	255	255	"Spell of Restriction"	1	1	1	"Mobility disabled"	0
66	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
67	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
68	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
69	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
70	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
71	39	255	255	"Damage Reflection"	0	1	1	"Partial damage reflected out."	0
72	40	255	255	"Sleep"	1	1	1	"Short period of nap"	0
73	40	255	255	"Blind"	1	1	1	"Shortened view and the attack accuracy decreases."	0
74	41	255	255	"Requiem"	1	1	1	"Summoner Neil attack"	0
75	42	255	255	"Explosion"	1	1	1	"Summoner Shamut attack"	0
76	43	255	255	"Weakness"	1	1	1	"Attack power reduction"	0
77	44	255	255	"Innovation"	1	1	1	"Defensibility reduction"	0
78	246	14	85	"[Increase]Cherry Blossom Wine"	0	0	1	"Increases maximum Mana +700."	0
79	246	14	86	"[Increase]Cherry Blossom Rice Cake"	0	0	1	"Increases maximum HP +700."	0
80	247	14	87	"[Enhance]Cherry Blossom Flower Petal"	0	0	1	"Increases attack power/wizardry/curse +40."	0
81	288	255	255	"Berserker"	0	1	1	"Increases wizardry and attack speed./Decreases defense and maximum HP."	0
82	45	255	255	"Expansion of Wizardry"	0	1	1	"Increases minimum wizardry."	0
83	46	255	255	"Flame Strike"	1	1	1	""	0
84	47	255	255	"Gigantic Storm"	1	1	1	""	0
85	48	255	255	"Lightning Shock"	1	1	1	""	0
86	49	255	255	"Cold"	1	1	1	"Detrimental cold reduces the mobility speed."	0
87	13	13	62	"Seal of Healing"	0	0	1	"Increases EXP gain +50%./Increases automatic HP recovery +5%."	0
88	13	13	63	"Seal of Divinity"	0	0	1	"Increases item drop +150%./Increases automatic Mana recovery +5%."	0
89	73	14	97	"Scroll of Battle"	0	1	1	"Increases critical damage rate +25%."	0
90	74	14	98	"Scroll of Strength"	0	1	1	"Increases excellent damage rate +25%."	0
91	131	255	255	"Blessing of Christmas"	0	1	1	"Increases damage and defense."	0
92	131	255	255	"Santa Healing"	0	1	1	"Increases maximum HP +500."	0
93	131	255	255	"Santa Protection"	0	1	1	"Increases maximum Mana +500."	0
94	131	255	255	"Santa Strengthener"	0	1	1	"Increases attack power/wizardry/curse +30."	0
95	131	255	255	"Santa Defense"	0	1	1	"Increases defense +100."	0
96	131	255	255	"Santa Quickness"	0	1	1	"Increases attack speed +15."	0
97	131	255	255	"Santa Fortune"	0	1	1	"Increases AG recovery speed +10."	0
98	50	255	255	"Watch"	0	0	1	"You may enter and watch a duel in Arena."	0
99	52	13	81	"Talisman of Protection"	0	0	1	"You receive no penalties when dying../Cannot receive this effect when you are  in outlaw status."	0
100	53	13	82	"Talisman of Item Protection"	0	0	1	"Keeps item durable"	0
101	60	13	93	"Master Seal of Ascension"	0	0	1	"EXP gain increase 20%"	0
102	61	13	94	"Master Seal of Wealth"	0	0	1	"EXP gain increase 20%/Item gain increase 50%"	0
103	51	13	95	"Gladiator's Honor"	0	0	1	"Increases EXP by 50% /Rare Item drop rate/can be used in Vulcanus only."	0
104	21	13	96	"Seal of Strength"	0	0	1	"Increases Attack Rate and Defense Rate"	0
105	54	255	255	"Ascension"	0	0	1	""	0
106	55	63	254	"PK Penalty"	1	0	1	"Warp Command Window access restricted for five minutes."	0
107	56	255	255	"You feel tired."	1	0	1	"50% EXP Gain /50% Item Drop Rate "	0
108	56	255	255	"You feel exhausted."	1	0	1	"50% EXP Gain /0% Item Drop Rate "	0
112	24	13	103	"Party EXP Bonus Item"	0	1	1	"Up to 30% EXP gain, depending on the number of members in the party."	0
113	58	13	104	"Max AG Boost Aura"	0	1	1	"Increases your max AG."	0
114	58	13	105	"Max SD Boost Aura"	0	1	1	"Increases your max SD."	0
115	56	13	117	"Minimum Vitality"	0	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
116	56	13	118	"Low Vitality"	0	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
117	56	13	119	"Medium Vitality"	0	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
118	56	13	120	"High Vitality"	0	0	1	"100% EXP Gain/100% Item Drop Rate/Stops stamina from diminishing for a fixed duration of time."	0
119	61	13	116	"Seal of Wealth"	0	0	1	"Increases Item Drop Rate to 150%."	0
120	59	255	255	"Punishment for Illicit Software Use"	1	0	1	"50% EXP Gain /0% Item Drop Rate "	0
121	75	14	140	"Scroll of Healing"	0	1	1	"Increases automatic HP recovery +4%./Increases maximum HP +200."	0
122	76	13	128	"Hawk Figurine"	0	1	1	"Critical Damage +10%"	0
123	76	13	129	"Goat Figurine"	0	1	1	"Excellent Damage +10%"	0
124	77	13	130	"Oak Charm"	0	1	1	"Maximum Life +50"	0
125	77	13	131	"Maple Charm"	0	1	1	"Maximum Mana +50"	0
126	77	13	132	"Golden Oak Charm"	0	1	1	"Maximum Life +150 / Maximum SD +500"	0
127	77	13	133	"Golden Maple Charm"	0	1	1	"Maximum Mana +150 / Maximum AG +50"	0
128	78	13	134	"Worn Horseshoe"	0	1	1	"Item Drop Rate increase"	0
129	79	255	255	"Ignore Enemy's Defense"	0	1	1	"Increases chance to ignore enemy's defense and inflict damage."	0
130	80	255	255	"Increase Health"	0	1	1	"Increases health stat."	0
131	81	255	255	"Increase Defense Rate"	0	1	1	"Increases maximum defend rate."	0
132	82	255	255	"Defense success rate decrease"	1	0	1	"Decreases defense success rate."	0
133	83	255	255	"Invincibility"	0	1	1	"Invincible"	0
134	84	255	255	"Iron Defense"	0	1	1	"Significantly increases defense and HP."	0
135	8	255	255	"Swell Life"	0	1	1	"Increases max life and Mana."	0
136	8	255	255	"Swell Life"	0	1	1	"Increases max life, Mana, and AG."	0
137	85	255	255	"Bleeding"	1	1	1	"HP is reduced continually."	0
138	45	255	255	"Expansion of Wizardry"	0	1	1	"Increases minimum & maximum wizardry."	0
139	45	255	255	"Expansion of Wizardry"	0	1	1	"Increases minimum & maximum wizardry./Increases critical damage rate."	0
140	4	255	255	"Soul Barrier"	0	1	1	"Uses Mana to absorb damage,/ and increases max Mana."	0
141	86	255	255	"Reduce attack speed"	1	1	1	"Reduces Attack speed."	0
142	87	255	255	"Bless"	0	1	1	"Increases all stats"	0
143	6	255	255	"Infinity Arrow"	0	0	1	"Arrows are not consumed,/ and increases your damage."	0
144	88	255	255	"Blind"	0	1	1	"You are blinded./Decreases attack success rate."	0
145	89	255	255	"Vampiric"	1	1	1	"HP is drained every second and transferred to the target."	0
146	90	255	255	"Freeze"	1	1	1	"Immobilized when you are frozen."	0
147	91	255	255	"Earth Binds"	1	1	1	"Earth Binds"	0
148	5	255	255	"Critical Damage increase"	0	1	1	"Increases critical damage and critical damage rate."	0
149	5	255	255	"Critical Damage increase"	0	1	1	"Increases critical damage and critical damage rate,/ and also increases excellent damage rate."	0
150	288	255	255	"Berserker"	0	1	1	"Increases wizardry and attack speed./Decreases defense and maximum HP."	0
151	288	255	255	"Berserker"	0	1	1	"Not used"	0
152	288	255	255	"Berserker"	0	1	1	"Increases wizardry and attack speed."	0
153	81	255	255	"Increase Defense Success Rate"	0	1	1	"Increases defense success rate."	0
154	81	255	255	"Increase Defense Success Rate"	0	1	1	"Increases maximum defense and defense success rate."	0
155	80	255	255	"Increase HP"	0	1	1	"Increases HP."	0
156	79	255	255	"Ignore Enemy's Defense"	0	1	1	"Increases defense ignore rate. If successful, a chance to ignore defense increase."	0
157	92	255	255	"Fire"	1	1	1	"HP is reduced for every second of fire damage."	0
158	93	255	255	"Frost"	1	1	1	"HP is reduced for every second of frost damage."	0
159	94	255	255	"Poison"	1	1	1	"HP is reduced for every second of poison damage."	0
160	94	255	255	"Poison"	1	1	1	"HP is reduced for every second of poison damage."	0
162	43	255	255	"Weaken"	1	1	1	"Decreases attack rate."	0
163	44	255	255	"Innovate"	1	1	1	"Decreases defense rate."	0
164	30	255	255	"Decrease Defense Rate"	1	1	1	"Decreases defense rate."	0
165	84	255	255	"Iron Defense"	0	1	1	"Significantly increases defense rate and HP."	0
