//////////////////////////////////////////////////////////////////////////////////////																				
// [ Script ]	LabyrinthOfDimensionInfo																			
// [ Start ] 	2017-01-02																			
// [ Latest ]	2017-01-02 15:57																			
// [ Author ]	박혜진																			
// [ Version ]	0.0.0.2																			
// [ Text ]	차원의 미궁 설정																			
// [ Desc ]	차원의 미궁 사용설명 추가																			
// [사용부서]	서버, 클라이언트																			
//////////////////////////////////////////////////////////////////////////////////////																				
																				
//차원의 미궁 맵 지역으로 사용할 맵 설정 (클라이언트 사용)																				
//차원의 미궁 맵의 지역은 기존 게임 내 맵의 특정 부분을 로드하여 사용하는 형태로 제작되었습니다.																				
//신규 추가 시 기존 게임 맵의 16x12 크기 만큼의 x, y 좌표를 입력합니다.																				
0																				
//인덱스	맵 번호	시작X	시작Y	종료X	종료Y	맵 이름(자동 입력됨)														
0	0	78	226	93	237	//로랜시아														
1	3	72	36	87	47	//노리아														
2	4	19	101	34	112	//로스트타워														
3	8	149	208	164	219	//타르칸														
4	112	25	108	40	117	//페리아														
5	112	111	12	126	23	//페리아														
6	33	131	15	146	26	//아이다														
7	37	165	158	180	169	//칸투르 폐허														
8	80	34	79	49	88	//칼루탄1														
9	80	213	167	228	176	//칼루탄1														
10	81	57	135	72	144	//칼루탄2														
11	57	76	24	91	35	// 라클리온(필드)														
12	58	138	25	153	36	// 라클리온 부화장(보스존)														
13	56	224	195	239	206	//평온의늪														
14	56	226	72	241	83	//평온의늪														
15	56	212	25	226	36	//평온의늪														
16	56	24	178	39	189	//평온의늪														
17	91	71	27	86	38	//아케론														
18	91	217	14	232	25	//아케론														
19	95	74	25	89	36	//데벤테르														
20	100	89	65	104	76	//우르크산														
21	100	86	24	101	35	//우르크산														
22	63	38	11	53	22	//불카누스														
23	63	138	207	153	218	//불카누스														
24	31	205	17	220	28	//시련의땅(공성전 사냥터)														
25	113	181	132	198	143	//닉시스호수														
26	112	108	187	123	199	//페리아														
27	0	47	146	62	157	//로랜시아														
28	0	24	21	39	32	//로랜시아														
29	0	205	48	220	59	//로랜시아														
30	1	1	101	16	112	//던전														
31	1	27	114	42	125	//던전														
32	2	158	8	171	19	//데비아스														
33	2	48	8	63	19	//데비아스														
34	6	81	80	96	91	//경기장														
35	9	65	93	80	104	//악마의광장 1~4														
36	31	46	50	61	61	//시련의땅(공성전 사냥터)														
37	31	53	218	68	229	//시련의땅(공성전 사냥터)														
end																				
//몬스터 능력치 상수 & 축복의 보석 보상 공식 상수 설정																				
//차원의 미궁 층 별 몬스터 능력치에 곱할 상수 값을 설정합니다.																				
//차원의 미궁 층 별 축복의 보석 보상 공식에 대입할 상수 값을 설정합니다.																				
//(*공식* 축복의 보석 개수 = 해당 층에서 처치한 마리 수 * 축복의 보석 상수)																				
1	// 2018년 시즌 13-2 업데이트 이후 사용하지 않는 컬럼입니다. 1번, end는 있어야 합니다.																			
//미궁 층	HP	damagemin	damagemax	defence	Monster Exp Level	축복의 보석														
// 사용하지 않습니다.																				
end																				
																				
//차원의 미궁 특수 몬스터 설정																				
4																				
//몬스터 인덱스	포인트	등장 조건(칸 수)																		
757	2000	10																		
end																				
																				
//차원의 미궁 지역별 설정																				
//차원의 미궁 지역별 미션, 출현 몬스터 설정을 합니다.																				
2																				
//지역 타입 	지역 인덱스	미션 종류1	미션 값1	미션 종류2	미션 값2	미션 종류3	미션 값3	미션 종류4	미션 값4	미션 종류5	미션 값5	미션 종류6	미션 값6	몬스터 인덱스	개체 수	몬스터 인덱스	개체 수	몬스터 인덱스	개체 수	
//이동 불가 지역																				
0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//입구 지역																				
1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//일반 지역																				
2	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
//미션 발생 지역																				
3	0	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//몬스터 목표 마리 수 처치
3	1	2	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//제한시간 1분 내 몬스터 목표 마리 수 처치 (스크립트에서는 목표마리수)
3	2	3	1500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	754	2	755	3	756	3	//누적데미지 달성
