//가이드와 스페셜 퀘스트의 챕터, 제목, 받을때, 진행중, 완료 대사를 입력하며 공통으로 받을 때 에러용 대사가 준비되어야 한다.				
//QuestStringIndex	QuestString	StringType	Quest Index	//QuestChapter
1	System maintenance (not used)	1	1	//1
2	Welcome to Mu World.	1	2	//1
3	저는 노리아의 여왕이신 에린 구스티브님을 모시고 있는 '쉐도우 팬텀 수호대'의 부대원 '올가(Olga)'라고 합니다. 만나뵙게 되어 반갑습니다.	2	2	//1
4	뮤 제국을 혼돈으로 몰아 넣은 쿤둔을 제지할 당신같은 영웅이 나타나기를 기다리고 있었습니다. 하지만 모험은 언제나 힘든 일이지요. 	2	2	//1
5	저희들이 간단히 안내를 해 드리겠습니다. 거창한 건 아닙니다. 간단한 조작법과 사냥법을 설명해 드립니다. 	2	2	//1
6	저희를 찾는 건 힘들지 않을 겁니다. 각 마을에 있는 '쉐도우 팬텀 부대원'을 찾아 말을 걸어 주세요.	2	2	//1
7	Good job. We will reward you.	4	2	//1
8	쉐도우팬텀에게서 뮤 플레이에 도움이 되는 안내를 듣습니다.	5	2	//1
9	튜토리얼 설명 C 누르기	1	3	//1
10	간단한 것부터 시작하도록 하죠. 퀘스트 창을 닫고 C을 누르거나 게임 화면 왼쪽 하단의 캐릭터(C) 버튼을 눌러 '캐릭터 정보창'을 열어 보세요.	2	3	//1
11	캐릭터 정보창을 열어 보셨나요? 캐릭터 정보창을 통해 캐릭터의 레벨과 각 스테이터스를 확인할 수 있으며 장비를 장착/ 해제 하실 수 있습니다.	2	3	//1
12	경험치가 쌓이면 레벨 업을 할 수 있습니다. 캐릭터 정보 창에 있는 경험치의 숫자를 통해 확인할 수 있고, 하단의 경험치 바를 통해서도 확인할 수 있습니다. 경험치 바는 총 0부터 9까지 총 10단계로 나뉘어져 있으며, 10단계의 경험치 바를 모두 채우면 레벨을 1업 할 수 있습니다.	2	3	//1
13	캐릭터 정보창을 통해 캐릭터의 이름과 내가 접속한 서버, 그리고 종족을 확인할 수 있습니다. 같은 이름을 지니고 있는 서버 내에서는 같은 캐릭터로 접속할 수 있습니다. 	2	3	//1
14	기본은 요정, 흑기사, 흑마법사 소환술사, 룬마법사, 슬레이어 6개의 기본 클래스가 있으며, 일반 클래스의 캐릭터를 150까지 키우면 레이지파이터를 200까지 키우면 그로우랜서를 220까지 키우면 마검사를 250까지 키우면 다크로드를 생성할 수 있습니다.	2	3	//1
15	We will reward you.	4	3	//1
16	쉐도우팬텀에게서 뮤 플레이에 도움이 되는 안내를 듣습니다.	5	3	//1
17	튜토리얼 설명 I 누르기	1	4	//1
18	레벨 업을 하게 되면 포인트를 습득할 수 있습니다. 습득한 포인트는 힘, 민첩성, 체력, 에너지에 투자할 수 있으며, 각각 공격력, 방어력, HP, MP에 영향을 미칩니다. 스테이터스는 캐릭터의 전투 특성을 결정짓고, 무기를 장착하거나 스킬을 배우기 위해서는 필수적이므로 적절한 포인트의 투자가 필요합니다.	2	4	//1
19	I 또는 V 버튼을 눌러 소지품창을 열어 보세요.	2	4	//1
20	소지품'에서는 소지하고 있는 아이템들을 확인할 수 있으며 '캐릭터'에서는 착용하고 있는 장비들을 확인할 수 있습니다. 아이템을 클릭하여 위치를 옮길 수 있으며, 소비 아이템일 경우 마우스 오른쪽 버튼을 이용해 사용할 수 있습니다. 	2	4	//1
21	We will reward you.	4	4	//1
22	쉐도우팬텀에게서 뮤 플레이에 도움이 되는 안내를 듣습니다.	5	4	//1
23	사과 구해오기	1	5	//1
24	그럼 인벤토리에 물건을 넣어 보도록 합시다. 방금 제가 드린 Zen으로 상인에게 사과를 5개만 구입해 오세요.	2	5	//1
25	사과는 물약을 파는 상인들이 팔고 있는데 로랜시아라면 다리 너머(128, 85)에 서 있는 물약 소녀 에이미에게, 엘베란드라면 광장 중앙 1시 방향(45, 227)에 있는 실비아에게, 노리아라면 마을 중앙 위쪽에 (172,124)있는 라라요정에게 구입할 수 있습니다.	2	5	//1
26	캐릭터가 서 있는 좌표는 게임 화면 좌측 상단에 숫자로 됩니다. ↖↘으로 이동시 앞 번호가, ↗↙방향으로 이동시 뒷 번호가 변합니다.	2	5	//1
27	각 마을에 있는 물약 상인을 찾아가 사과를 5개만 구입해 오세요. NPC 이름은 밝은 하늘색으로 표시되며, 마우스 오버시 포인트 모양이 이빨 모양으로 변하니 쉽게 찾을 수 있을 거에요.	3	5	//1
28	We will reward you.	4	5	//1
29	물약 파는 상인(npc)를 찾아가 사과 5개를 구입해 옵니다. 사냥으로 얻은 사과로도 완료할 수 있습니다.	5	5	//1
30	노리아 고리전갈 사냥	1	6	//1
31	노리아 밖으로 나가 '고리전갈'을 3마리만 사냥해 보세요. 위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요.	2	6	//1
32	또, 사냥하다 도시에서 멀리 벗어나는 경우나, 위급한 경우 '마을귀환문서'를 사용하면 편리하답니다.	2	6	//1
33	마을 귀환 문서는 물약을 파는 상인들이 파는 아이템으로 마을 귀환 문서를 사용하면 가장 최근에 방문했던 마을로 돌아갈 수 있게 해 주는 1회성 소모 아이템입니다. 	2	6	//1
34	가시기 전에 퀘스트 창을 닫은 뒤 저를 다시 클릭해서 '공격력, 방어력 향상 버프를 받는다'를 선택하십시오. 220 레벨 이하라면 누구나 축복을 받을 수 있습니다. 버프를 받으면 게임 좌측 상단에 아이콘이 표시되고, 케릭터 주위에 푸른 빛의 이펙트가 생기며, 캐릭터의 공격력과 방어력이 1시간 동안 향상됩니다.	2	6	//1
35	사냥을 완료하시면 보상을 받으시러 다시 찾아오셔야합니다.	3	6	//1
36	Good job. We will reward you.	4	6	//1
37	노리아의 고리전갈을 사냥하고 돌아 오세요. 즉시이동 버튼을 사용하면 해당 몬스터의 위치까지 자동이동이 가능합니다.	5	6	//1
38	로렌시아 버지드래곤 사냥	1	7	//1
39	로랜시아 밖으로 나가 '버지드래곤'을 3마리만 사냥해 보세요. 위급한 순간에는 Q를 이용해 체력을 회복하세요. 전사님의 실력이라면 어렵지 않게 잡을 수 있을거에요.	2	7	//1
40	또, 사냥하다 도시에서 멀리 벗어나는 경우나, 위급한 경우 '마을귀환문서'를 사용하면 편리하답니다.	2	7	//1
