////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
//	[ Text  Version ]	
//	[ 최종 작업자 ]	
//	[ 최종 작업일 ]	
//	[ 작 업 내 용 ]	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////		
		
// MixSlotFrame 테이블		
// 클라이언트 전용		
// 각 아이템에 맞는 이미지를 결정짓는 테이블		
// Frame No.는 참고 탭 참조		
// Type 예외 : 물음표는 -1, 세트아이템은 100을 사용한다.		
// 기존 아이템 범위를 벗어난 타입은 중복해서 사용할 수 없다.		
// Frame No. = 0,1 값은 사용 금지. (1일 경우는 아무것도 없는 상태)		
		
//Type	Index	Frame No.
12	221	2
12	231	3
12	241	4
12	251	5
12	261	6
12	145	7
12	288	8
12	151	9
14	13	10
12	15	12
14	189	14
14	190	14
//14	297	18
//15	298	19
//16	299	20
//17	300	21
//18	301	18
//19	302	19
//20	303	20
//21	304	21
//22	305	18
//23	306	19
//24	307	20
//25	308	21
14	309	18
14	310	19
14	311	20
14	312	21
//14	313	22
//15	314	23
//16	315	24
14	316	25
14	317	27
//14	321	26
//15	322	26
//16	323	26
//17	324	26
//18	325	26
14	22	30
14	31	31
14	42	32
14	14	33
14	364	34
12	401	35
100	-1	13
101	-1	17
102	-1	28
//		36
//		37
//		38
13	31	39
14	466	40
14	467	41
14	468	41
14	470	42
14	477	43
14	16	44
14	498	45
end		
