////////////////////////////////////////////////////////////////////////////////	
//[ Script ]	MonsterSoulConversionDropInfo
//[ Version ]	0.0.0.1
//[ 최종 작업자 ]	박혜진
//[ 최종 작업일 ]	2019-02-20 2:56 PM
//[ 작 업 내 용 ]	Season14 Part2 몬스터 영혼 변환 컨텐츠 신규 추가
//[ 사 용 부 서 ]	클라이언트
////////////////////////////////////////////////////////////////////////////////	
//고유번호	
1	
// Ruud	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Confirmed - 4 Ruud"
1	"Random - 2 ~ 40 Ruud, [Bound] Bless of Light (Minor)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Confirmed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Minor)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Confirmed - Elemental Rune"
1	"Random - Plain Pentagram, Rare Pentagram, Unique Pentagram, Errtel Rank 1 Lvl 1, Errtel Rank 1 Lvl 7, Elemental Rune, [Bound] Bless of Light (Minor)"
end	
end	
//고유번호	
2	
// Ruud	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Confirmed - 4 Ruud"
1	"Random - 2 ~ 40 Ruud, [Bound] Bless of Light (Minor)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Confirmed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Minor)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Confirmed - Elemental Rune"
1	"Random - Plain Pentagram, Rare Pentagram, Unique Pentagram, Errtel Rank 1 Lvl 1, Errtel Rank 1 Lvl 7, Elemental Rune, [Bound] Bless of Light (Minor)"
end	
end	
//고유번호	
3	
// Ruud	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Confirmed - 4 Ruud"
1	"Random - 2 ~ 40 Ruud, [Bound] Bless of Light (Standard)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Confirmed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Standard)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Confirmed - Elemental Rune"
1	"Random - Plain Pentagram, Rare Pentagram, Unique Pentagram, Errtel Rank 1 Lvl 1, Errtel Rank 1 Lvl 7, Elemental Rune, [Bound] Bless of Light (Standard)"
end	
end	
//고유번호	
4	
// Ruud	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Confirmed - 4 Ruud"
1	"Random - 2 ~ 40 Ruud, [Bound] Bless of Light (Standard)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Confirmed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Standard)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Confirmed - Elemental Rune"
1	"Random - Plain Pentagram, Rare Pentagram, Unique Pentagram, Errtel Rank 1 Lvl 1, Errtel Rank 1 Lvl 7, Elemental Rune, [Bound] Bless of Light (Standard)"
end	
end	
//고유번호	
5	
// Ruud	
//보상 종류 번호	
1	
//보상 구분	정보
0	"Confirmed - 4 Ruud"
1	"Random - 2 ~ 40 Ruud, [Bound] Bless of Light (Standard)"
end	
// 보석 아이템류	
//보상 종류 번호	
2	
//보상 구분	정보
0	"Confirmed - Jewel of Bless"
1	"Random - Jewel of Bless, Jewel of Soul, Jewel of Life, Jewel of Harmony, Jewel of Creation, Jewel of Chaos, [Bound] Bless of Light (Standard)"
end	
// 속성 아이템류	
//보상 종류 번호	
3	
//보상 구분	정보
0	"Confirmed - Elemental Rune"
1	"Random - Plain Pentagram, Rare Pentagram, Unique Pentagram, Errtel Rank 1 Lvl 1, Errtel Rank 1 Lvl 7, Elemental Rune, [Bound] Bless of Light (Standard)"
end	
// 액세서리 아이템류	
//보상 종류 번호	
4	
//보상 구분	정보
0	"Confirmed - Excellent Ring"
1	"Random - Excellent Ring, Excellent Pendant, Rage Earring (L) or (R), Handcraft Stone, Cherry Blossom Play-Box, [Bound] Bless of Light(Standard)"
end	
end	
