////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
//	[ Text  Version ]		1.0.0.8																													
//	[ 최종 작업자 ]		설희원																													
//	[ 최종 작업일 ]		2011-10-13 21:53 PM																													
//	[ 작 업 내 용 ]		스크립트 확률 수정																													
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
																																
// 보석 아이템 옵션 인덱스																																
// 각 아이템은 뒤에 추가 아이템 공간을 남겨두고 10 단위로 Index 표시																																
// Item Type : Item 스크립트 상의 아이템 종류 예, 0 검류~																																
// Item Index : Item 스크립트 상의 실제 아이템 																																
//Rank : 속성 보석 아이템의 랭크																																
//Option : 속성 보석 아이템의 랭크에 종속된 옵션																																
//0~10 강화 단계, 강화 단계별 옵션 수치 밸런싱																																
//Rate : 각 레벨업 단계 레벨업 강화 성공 확률.. 각 보석/ 각 랭크 단위로 계열 확률 동일하게 기록할 것.. 안그러면 오류남.																																
//Option Rate : 해당 랭크업 업그레이드 시, 해당 옵션이 붙을 확률																																
//각 레벨업 단계 레벨업 성공 확률. 10000율 기준																																
//Index	Type	Item Index	Rank Level	Option	Acpuisition_Rate	RON	0	Rate	1	Rate	2	Rate	3	Rate	4	Rate	5	Rate	6	Rate	7	Rate	8	Rate	9	Rate	10	Rate	옵션명	변수종류		
0																																
// Errtel of Anger ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// Rank 1																																
0	12	221	1	1	10000	101	30	0	33	9000	38	8500	45	8000	54	7500	65	7000	78	6500	93	6000	113	5500	138	5000	168	5000	"Elemental Dmg +%d"	0	//	"Errtel of Anger"
// Rank 2																																
10	12	221	2	1	2000	111	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Fire Element"	1	//	"Errtel of Anger" Rank 2
11	12	221	2	2	2000	112	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Water Element"	1	//	"Errtel of Anger" Rank 2
12	12	221	2	3	2000	113	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Earth Element"	1	//	"Errtel of Anger" Rank 2
13	12	221	2	4	2000	114	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Wind Element"	1	//	"Errtel of Anger" Rank 2
14	12	221	2	5	2000	115	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Attack Against Dark Element"	1	//	"Errtel of Anger" Rank 2
// Rank 3																																
20	12	221	3	1	5000	121	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Anger" Rank 3
21	12	221	3	2	5000	122	30	0	35	8000	43	7500	54	7000	66	6500	80	6000	97	5500	117	5000	142	4500	172	4000	207	4000	"Elemental Attack Dmg (in Raids) +%d"	0	//	"Errtel of Anger" Rank 3
// Unused Rank Option																																
//30	12	221	4	1	5000	131	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"Ranged Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Anger" Rank 4
//31	12	221	4	2	5000	132	30	0	35	9000	43	8500	54	8500	66	8500	80	8500	97	8500	117	8500	142	8500	172	8500	207	8500	"Melee Elemental Attack Dmg (in PvP) +%d"	0	//	"Errtel of Anger" Rank 4
//40	12	221	5	1	5000	141	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Critical Rate (in PvP) +%d%%"	1	//	"Errtel of Anger" Rank 5
//41	12	221	5	2	5000	142	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Critical Rate (in Raids) +%d%%"	1	//	"Errtel of Anger" Rank 5
// Season 10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// Rank 4																																
//30	12	221	4	1	5000	133	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"Elemental Damage (in PVP) +%d%%"	1	//	"Errtel of Anger" Rank 4
//31	12	221	4	2	5000	134	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"Elemental Damage (in Raids) +%d%%"	1	//	"Errtel of Anger" Rank 4
// Rank 5																																
//40	12	221	5	1	10000	143	3	0	4	7000	5	6500	6	6000	8	5500	10	5000	12	4500	15	4000	18	3500	21	3000	25	3000	"Elemental Damage +%d%%"	1	//	"Errtel of Anger" Rank 5
// 시즌11-2 Beginners 에르텔 추가 (2016-02-23) 박혜진																																
250	12	222	1	14	10000	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Elemental Dmg +%d"	0	//	"Beginners Errtel of Anger"
// Errtel of Blessing ///////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																
// Rank 1																																
50	12	231	1	1	10000	201	10	0	13	9000	17	8500	22	8000	28	7500	35	7000	43	6500	52	6000	62	5500	73	5000	85	5000	"Elemental Defense +%d"	0	//	"Errtel of Blessing"
// Rank 2																																
60	12	231	2	1	2000	211	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Fire Element"	1	//	"Errtel of Blessing" Rank 2
61	12	231	2	2	2000	212	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Water Element"	1	//	"Errtel of Blessing" Rank 2
62	12	231	2	3	2000	213	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Earth Element"	1	//	"Errtel of Blessing" Rank 2
63	12	231	2	4	2000	214	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Wind Element"	1	//	"Errtel of Blessing" Rank 2
64	12	231	2	5	2000	215	5	0	6	8500	7	8000	8	7500	9	7000	10	6500	12	6000	14	5500	16	5000	18	4500	20	4500	"+%d%% Defense Against Dark Element"	1	//	"Errtel of Blessing" Rank 2
// Rank 3																																
70	12	231	3	1	5000	221	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"Elemental Defense (in PvP) +%d"	0	//	"Errtel of Blessing" Rank 3
71	12	231	3	2	5000	222	10	0	13	8000	17	7500	22	7000	28	6500	35	6000	43	5500	52	5000	62	4500	73	4000	85	4000	"Elemental Defense (in Raids) +%d"	0	//	"Errtel of Blessing" Rank 3
// Unused Rank Option																																
//80	12	231	4	1	5000	231	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"Ranged Elemental Defense (in PvP) +%d"	0	//	"Errtel of Blessing" Rank 4
//81	12	231	4	2	5000	232	10	0	13	9000	17	8500	22	8500	28	8500	35	8500	43	8500	52	8500	62	8500	73	8500	85	8500	"Melee Elemental Defense (in PvP) +%d"	0	//	"Errtel of Blessing" Rank 4
//90	12	231	5	1	5000	241	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Dmg (in PvP) -%d%%"	1	//	"Errtel of Blessing" Rank 5
//91	12	231	5	2	5000	242	5	0	6	9000	7	8500	8	8500	9	8500	10	8500	12	8500	14	8500	16	8500	18	8500	20	8500	"Elemental Dmg (in Raids) -%d%%"	1	//	"Errtel of Blessing" Rank 5
// Season 10-3 에르텔 4, 5 랭크 옵션 추가 (2015-04-01 홍승욱)																																
// Rank 4																																
//80	12	231	4	1	5000	233	5	0	6	7500	7	7000	8	6500	10	6000	12	5500	14	5000	17	4500	20	4000	23	3500	27	3500	"Elemental Damage Absorb (in PVP) +%d%%"	1	//	"Errtel of Blessing" Rank 4
