//!!  Season11 P.1 이전 해당 스크립트 패치가 필요한 경우 사재일에게 문의 부탁 드립니다																	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																	
//	[ Text  Version ]	0.0.0.5															
//	[ 최종 작업자 ]	김의건															
//	[ 최종 작업일 ]	2014-11-10 17:12															
//	[ 작 업 내 용 ]	초보자용 펜타그램 추가															
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																	
// Pentagram item basic option additional script																	
// Pentagram Options List																	
//type	Index	Name	Pentagram Rating	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option Check 1	Option Check 2	Option Check 3	Option Check 4	Option Check 5	Option Check 6	Option Check 7
// Normal																	
0																	
12	200	"Muren's Spellbook"	1	0	0	0	0	0	0	0							
12	201	"Scroll of Etramu"	1	0	0	0	0	0	0	0							
12	202	"Lorencia Knights' Iron Shield"	1	0	0	0	0	0	0	0							
12	203	"Iron Shield of the Magic"	1	3	0	0	0	0	0	0	//"Increase Pentagram Defense+10%%"						
12	204	"Hero's Elixir"	1	0	0	0	0	0	0	0							
12	205	"Brave Hero Elixir"	1	4	0	0	0	0	0	0	//"Elemental Critical Damage Probability +10%%"						
12	206	"Gladiator's Dagger"	1	0	0	0	0	0	0	0							
12	207	"Merciless Gladiator's Dagger"	1	2	0	0	0	0	0	0	//"Increase Pentagram Damage +10%%"						
12	217	"Bead of Thoughtful Sage"	1	5	0	0	0	0	0	0	//"Increases the effectiveness of the Ertell 1 Rank option +35"						
// Rare																	
12	208	"Kundun's Madness Blade"	2	26	24	0	0	0	0	0	//"Additional Elemental Defense +5%%"	//"Elemental Critical Damage Probability +10%%"					
12	209	"Kundun's Magic Spell Scroll"	2	27	24	0	0	0	0	0	//"Damage to Elemental Attack +1%%"	//"Elemental Critical Damage Probability +10%%"					
12	210	"Empire Guardians' Stronghold"	2	26	28	0	0	0	0	0	//"Elemental Defense to Defense +5%%"	//"%s, %s Elemental complete attack resistance +5%%"					
12	211	"Ancient Icarus Scroll"	2	27	28	0	0	0	0	0	//"Damage to Elemental Attack +1%%"	//"%s, %s Elemental complete attack resistance +5%%"					
12	218	"Magic Scroll (attributable)"	2	27	24	0	0	0	0	0	//"Damage to Elemental Attack +1%%"	//"Elemental Critical Damage Probability +10%%"					
12	306	"Golden Line Harp of Lunidel"	2	34	21	29	0	0	0	0	//"Pentagram ATK / DEF +5%%"	//"Increase Pentagram Damage +10%%"	//"Increased Attack Damage +30"				
12	307	"Orb of the Lemurian"	2	34	22	30	0	0	0	0	//"Pentagram ATK / DEF +5%%"	//"Increase Pentagram Defense +10%%"	//"Increase defense of property +30"				
