////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////			
//	[ Text  Version ]	0.0.0.1	
//	[ 최종 작업자 ]	유혜성	
//	[ 최종 작업일 ]	2018-03-05 15:32	
//	[ 작 업 내 용 ]	최초 작성	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////			
			
// ExtendableItem 테이블			
// 서버,클라이언트 전용			
// 테이블내에 등록된 아이템만 기간 합치기가 가능하다.			
// 향후 추가되는 아이템에 대해서 별도의 작업없이 라인 추가로 정상동작이 가능하다.			
			
//==================================================================================================================================			
			
			
//Number	Item Type	Item Index	
0	13	64	//데몬
1	13	65	//수호정령
2	13	80	//팬더펫
3	13	106	//유니콘펫
4	13	123	//스켈레톤펫
5	13	113	//루비목걸이
6	13	114	//에메랄드목걸이
7	13	115	//사파이어목걸이
8	13	20	//마법사의반지
9	13	39	//엘리트해골전사변신반지
10	13	76	//팬더변신반지
11	13	77	//갈색곰변신반지
12	13	78	//분홍곰변신반지
13	13	107	//치명적인 마법사의반지
14	13	109	//사파이어반지
15	13	110	//루비반지
16	13	111	//토파즈반지
17	13	112	//자수정반지
18	13	122	//스켈레톤변신반지
19	13	163	//로봇기사변신반지
20	13	164	//미니로봇변신반지
21	13	165	//제천대성변신반지
22	13	166	//갈색팬더변신반지
23	13	472	//[PC방]스켈레톤변신반지
24	13	473	//[PC방]로봇기사변신반지
25	13	474	//[PC방]미니로봇변신반지
26	13	475	//[PC방]제천대성변신반지
27	13	128	//매조각상
28	13	129	//산양조각상
29	13	130	//오크참
30	13	131	//메이플참
31	13	132	//골든오크참
32	13	133	//골든메이플참
33	13	134	//낡은편자
34	13	177	//상승의 부적 I
35	13	178	//상승의 부적 II
36	13	179	//상승의 부적 III
37	13	476	//[PC방]상승의 부적 I
38	12	267	//선악의날개
39	12	266	//정복자의날개
40	12	130	//작은군주의망토
41	12	131	//작은재앙의날개
42	12	132	//작은요정의날개
43	12	133	//작은천공의날개
44	12	134	//작은사탄의날개
45	12	135	//작은무인의망토
46	12	278	//작은한계의망토
47	12	283	//[PC방]선악의날개
48	12	284	//[PC방]죽음의망토
49	12	285	//[PC방]혼돈의날개
50	12	286	//[PC방]마력의날개
51	12	287	//[PC방]생명의날개
52	13	469	//[PC방]팬더펫
53	13	470	//[PC방]스켈레톤펫
54	13	268	//어둠의변신반지
55	12	449	//분노의귀걸이(좌)
56	12	480	//권능의날개
end			
