//type	index	red	green	blue	meshIndex
0	14	0	127	255	-1
0	20	191	165	127	-1
0	21	255	255	255	-1
0	22	127	102	76	-1
0	23	76	76	114	-1
0	24	153	127	51	-1
0	25	127	153	178	-1
0	28	204	204	255	-1
0	30	255	255	255	-1
0	31	191	165	127	-1
0	32	165	114	76	-1
0	33	204	102	0	-1
0	34	127	102	76	-1
0	35	127	204	229	-1
0	37	0	127	255	-1
0	38	255	229	153	-1
0	39	0	127	255	-1
0	40	165	114	76	-1
0	42	204	40	28	0
0	42	0	0	0	1
0	42	0	0	0	2
0	43	204	216	229	-1
0	44	255	78	56	0
0	44	0	0	0	1
0	44	0	0	0	2
0	45	204	216	229	-1
0	46	185	78	60	0
0	47	204	216	229	-1
0	50	204	102	0	-1
0	51	255	178	63	-1
0	52	89	165	255	-1
0	53	229	178	114	-1
0	54	154	106	40	0
0	54	0	0	0	1
0	54	0	0	0	2
0	55	129	142	103	-1
0	56	136	128	88	-1
0	57	190	142	69	0
0	57	0	0	0	1
0	57	0	0	0	2
0	57	0	0	0	3
0	58	190	142	69	0
0	58	0	0	0	1
0	58	0	0	0	2
0	59	0	0	0	0
0	59	190	140	69	1
0	60	219	34	17	0
0	61	255	178	63	0
0	61	0	0	0	1
0	61	0	0	0	2
0	62	193	144	77	0
0	62	0	0	0	1
0	62	0	0	0	2
0	62	0	0	0	3
0	63	187	41	0	0
0	63	0	0	0	1
0	64	196	30	12	0
0	65	222	82	111	0
0	66	137	160	204	0
0	67	200	147	100	0
0	68	111	66	42	0
0	69	62	100	120	0
0	69	192	91	0	1
0	70	188	79	0	0
0	70	193	149	174	1
0	70	0	0	0	2
0	70	0	0	0	3
0	71	113	32	20	0
0	71	0	0	0	1
0	72	88	110	126	0
0	72	0	0	0	1
0	72	0	0	0	2
0	73	190	142	69	0
0	73	0	0	0	1
0	73	0	0	0	2
0	73	0	0	0	3
0	74	193	144	77	0
0	74	0	0	0	1
0	74	0	0	0	2
0	75	150	150	175	0
0	75	0	0	0	1
0	75	0	0	0	2
0	75	0	0	0	3
0	75	0	0	0	4
0	76	234	85	95	0
0	76	0	0	0	1
0	76	255	47	0	2
0	76	0	0	0	3
0	77	244	147	74	0
0	77	0	0	0	1
0	77	255	178	63	2
0	77	0	0	0	3
0	77	0	0	0	4
0	77	0	0	0	5
0	77	0	0	0	6
0	78	122	139	168	0
0	78	0	0	0	3
0	79	150	150	170	0
0	79	0	0	0	3
0	80	124	136	202	0
0	80	0	0	0	1
0	120	108	69	13	0
2	8	127	127	204	-1
2	9	191	165	127	-1
2	10	119	170	153	-1
2	12	165	114	76	-1
2	14	114	114	58	-1
2	15	114	114	58	-1
2	17	178	51	51	-1
2	18	255	255	255	-1
2	19	127	127	204	-1
2	20	255	255	255	-1
2	21	191	165	127	-1
2	22	255	38	16	0
2	23	204	216	229	-1
2	25	255	178	63	-1
2	26	134	126	83	-1
2	27	190	142	69	0
2	27	0	0	0	1
2	27	0	0	0	2
2	27	0	0	0	3
2	28	255	127	0	0
2	28	255	127	0	1
2	28	255	127	0	2
2	29	57	70	142	0
2	29	0	0	0	1
2	30	255	194	68	0
2	30	0	0	0	1
2	30	0	0	0	2
2	31	26	92	48	0
2	31	0	0	0	3
2	31	93	178	25	4
2	32	255	78	30	0
2	32	0	0	0	1
2	32	0	0	0	2
2	33	150	106	40	0
2	33	0	0	0	1
2	33	0	0	0	2
2	34	255	53	0	0
2	34	0	0	0	1
2	34	0	0	0	2
2	35	255	178	63	0
2	35	0	0	0	1
2	35	0	0	0	2
2	35	0	0	0	3
2	36	255	78	23	0
2	36	0	0	0	1
2	37	57	70	142	0
2	37	0	0	0	1
2	38	190	142	69	0
2	38	0	0	0	1
2	38	0	0	0	2
2	38	0	0	0	3
2	38	0	0	0	4
2	39	193	144	77	0
2	39	0	0	0	1
2	39	0	0	0	2
2	40	122	127	168	0
2	40	0	0	0	1
2	41	139	127	171	0
2	41	0	0	0	1
3	10	127	127	204	-1
3	11	76	178	76	-1
3	12	255	255	255	-1
3	13	102	178	255	-1
3	14	204	216	229	-1
3	15	229	204	255	-1
3	16	204	117	63	-1
3	17	204	178	76	-1
3	18	204	51	25	-1
3	19	188	43	16	0
3	19	0	0	0	1
3	20	204	216	229	-1
3	21	229	204	255	-1
3	22	127	178	255	-1
3	23	216	153	153	-1
3	24	181	127	62	0
3	24	204	127	76	1
3	24	156	127	61	2
3	24	195	127	52	3
3	24	0	0	0	4
3	25	190	142	69	0
3	25	0	0	0	1
3	25	0	0	0	2
3	25	0	0	0	3
3	26	255	47	0	0
3	26	0	0	0	1
3	26	34	25	47	2
3	26	0	0	0	3
3	26	0	0	0	4
3	27	255	178	63	0
3	27	0	0	0	3
3	28	212	62	15	0
3	28	0	0	0	1
3	28	0	0	0	2
3	29	124	127	161	0
3	29	0	0	0	1
3	29	0	0	0	2
3	29	0	0	0	3
4	5	255	255	255	-1
4	13	255	255	255	-1
4	17	127	127	204	-1
4	18	191	165	127	-1
4	19	127	127	204	-1
4	20	165	114	76	-1
4	21	76	178	76	-1
4	22	76	178	76	-1
4	23	178	102	102	-1
4	24	127	127	178	-1
4	25	153	204	102	-1
4	26	153	153	153	-1
4	27	255	255	255	-1
4	28	255	78	30	0
4	28	0	0	0	1
4	28	0	0	0	2
4	29	127	127	204	-1
4	30	255	178	63	-1
4	31	185	176	76	-1
4	32	117	140	78	-1
4	33	119	127	71	-1
4	34	161	95	76	-1
4	35	102	98	91	-1
4	36	190	142	69	0
4	36	190	142	69	1
4	36	0	0	0	2
4	36	190	142	69	3
4	37	169	157	120	-1
4	38	219	83	0	0
4	38	0	0	0	1
4	38	0	0	0	3
4	38	0	0	0	4
4	40	119	127	151	0
4	40	0	0	0	1
4	40	0	0	0	2
4	40	0	0	0	3
4	40	0	0	0	4
4	41	144	155	183	0
4	41	0	0	0	1
4	41	0	0	0	2
4	42	66	66	120	0
4	43	100	74	0	0
4	46	227	28	52	0
5	5	0	127	255	-1
5	9	255	255	255	-1
5	11	165	114	76	-1
5	12	94	94	255	-1
5	13	153	153	153	-1
5	14	153	127	51	-1
5	15	51	76	153	-1
5	16	255	51	0	-1
5	17	0	127	255	-1
5	18	178	76	76	-1
5	19	127	102	255	-1
5	20	153	102	204	-1
5	22	255	51	0	-1
5	30	255	51	0	-1
5	31	94	94	255	-1
5	32	165	76	63	-1
5	33	204	153	51	-1
5	34	255	255	255	-1
5	35	255	255	255	-1
5	37	204	153	51	-1
5	38	0	127	255	-1
5	39	255	51	0	-1
5	40	255	51	0	-1
5	41	255	78	30	0
5	41	0	0	0	1
5	42	204	216	229	-1
5	43	255	78	30	0
5	43	0	0	0	1
