////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////							
//	[Script]	ArcaBattleBootyMix					
//	[ Text  Version ]	1.0.0.3					
//	[ 최종 작업자 ]	설희원					
//	[ 최종 작업일 ]	2011-11-09 17:53 PM					
//	[ 작 업 내 용 ]	본서버 밸런싱					
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////							
// 아르카쟁 보상 아이템 전장의 전리품 조합(NPC : 							
							
//아르카쟁 전장의 전리품 교환(조합) 스크립트							
0							
//보상아이템링크번호	최소	최대	기본확률	증가확률			
1	1	10	55	5			
2	11	20	55	5			
3	21	30	55	5			
4	31	40	55	5			
5	41	50	50	5			
6	51	60	50	5			
7	61	70	50	5			
8	71	80	45	5			
9	81	90	45	5			
10	91	100	45	5			
end							
							
//1번 조합 보상아이템링크							
1							
//타입	인덱스	레벨	내구도	확률			
13	0	0	0	200000			//수호천사
13	1	0	0	200000			//사탄
13	2	0	0	200000			//유니리아의뿔
14	37	0	0	200000			//큰SD회복물약
14	40	0	0	150000			//큰복합물약
12	141	0	0	50000			//혼돈의보석묶음+1
end							
							
//2번 조합 보상아이템링크							
2							
//타입	인덱스	레벨	내구도	확률			
14	44	0	0	200000			//상급 제련석
14	42	0	0	200000			//조화의보석
14	22	0	0	200000			//창조의보석
12	15	0	0	200000			//혼돈의보석
12	150	0	0	150000			//보석 조합 틀
12	31	0	0	50000			//영혼의보석묶음+1
end							
							
//3번 조합 보상아이템링크							
3							
//타입	인덱스	레벨	내구도	확률			
14	13	0	0	200000			//축복의보석
14	14	0	0	250000			//영혼의보석
14	16	0	0	200000			//생명의보석
14	31	0	0	250000			//수호보석
12	151	0	0	50000			//정령 가루
12	30	0	0	50000			//축복의보석묶음+1
end							
							
//4번 조합 보상아이템링크							
4							
//타입	인덱스	레벨	내구도	확률			
13	15	0	0	150000			//열매 에너지
13	15	1	0	200000			//열매 체력
13	15	2	0	200000			//열매 민첩
13	15	3	0	200000			//열매 힘
13	15	4	0	200000			//열매 통솔
12	30	0	0	50000			//축복의보석묶음+1
end							
							
//5번 조합 보상아이템링크							
5							
//타입	인덱스	레벨	내구도	확률			
12	61	0	0	100000		//시드 물	방어성공율증가
12	61	1	0	100000		//시드 물	방어력증가
12	61	2	0	100000		//시드 물	방패방어력증가
12	61	3	0	50000		//시드 물	데미지감소
12	61	4	0	50000		//시드 물	데미지반사
12	63	0	0	100000		//시드 바람	생명자동회복증가
12	63	1	0	100000		//시드 바람	최대생명증가
12	63	2	0	100000		//시드 바람	최대마나증가
12	63	3	0	50000		//시드 바람	마나자동회복증가
12	63	4	0	100000		//시드 바람	최대AG증가
12	63	5	0	100000		//시드 바람	AG값증가
14	53	0	10	50000			//행운의부적
end							
							
//6번 조합 보상아이템링크							
6							
//타입	인덱스	레벨	내구도	확률			
12	30	0	0	100000			//축복의보석묶음+1
12	31	0	0	150000			//영혼의보석묶음+1
12	141	0	0	150000			//혼돈의보석묶음+1
12	137	0	0	150000			//창조의보석묶음+1
12	136	0	0	150000			//생명의보석묶음+1
12	138	0	0	150000			//수호보석묶음+1
12	140	0	0	150000			//조화의보석묶음+1
end							
							
//7번 조합 보상아이템링크							
7							
//타입	인덱스	레벨	내구도	확률			
12	62	0	0	150000		//시드 얼음	몬스터사망시생명증가
12	62	1	0	150000		//시드 얼음	몬스터사망시생마나증가
12	62	2	0	150000		//시드 얼음	스킬공격력증가
12	62	3	0	150000		//시드 얼음	공격성공율증가
12	62	4	0	150000		//시드 얼음	아이템 내구력 증가
12	65	2	0	200000		//시드 땅	체력증가
14	53	0	10	50000			//행운의부적
end							
							
//8번 조합 보상아이템링크							
8							
//타입	인덱스	레벨	내구도	확률			
12	30	1	0	150000			//축복의보석묶음+2
12	31	1	0	150000			//영혼의보석묶음+2
12	141	1	0	150000			//혼돈의보석묶음+2
12	137	1	0	150000			//창조의보석묶음+2
12	136	1	0	100000			//생명의보석묶음+2
12	138	1	0	150000			//수호보석묶음+2
12	140	1	0	149000			//조화의보석묶음+2
13	53	0	0	1000			//콘도르의 깃털
end							
							
//9번 조합 보상아이템링크							
9							
//타입	인덱스	레벨	내구도	확률			
12	60	0	0	150000		//시드 불	레벨별 공격력
12	60	1	0	150000		//시드 불	공격속도
12	60	2	0	150000		//시드 불	최대공격력
12	60	3	0	150000		//시드 불	최소공격력
12	60	4	0	100000		//시드 불	공격력/마력증가
12	60	5	0	100000		//시드 불	AG소모량감소
12	64	0	0	50000		//시드 번개	엑설런트데미지증가
12	64	1	0	50000		//시드 번개	엑설런트데미지확률증가
12	64	2	0	50000		//시드 번개	크리티컬데미지증가
12	64	3	0	50000		//드 번개	크리티컬데미지확률증가
14	53	0	10	45000			//행운의부적
13	53	0	0	5000			//콘도르의 깃털
end							
							
//10번 조합 보상아이템링크							
10							
//타입	인덱스	레벨	내구도	확률			
12	30	2	0	150000			//축복의보석묶음+3
12	31	2	0	150000			//영혼의보석묶음+3
12	141	2	0	150000			//혼돈의보석묶음+3
12	137	2	0	150000			//창조의보석묶음+3
12	136	2	0	100000			//생명의보석묶음+3
12	138	2	0	150000			//수호보석묶음+3
12	140	2	0	140000			//조화의보석묶음+3
13	53	0	0	10000			//콘도르의 깃털
end							
end							
							
 							
							
							
							
 							
