////////////////////////////////////////////////////////////////////////////////											
//	[ Text  Version ]	0.0.7.8									
//	[ 최종 작업자 ]	사재일									
//	[ 최종 작업일 ]	2015-08-11-04:53 PM									
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가									
////////////////////////////////////////////////////////////////////////////////											
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가											
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며											
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것											
											
									
//Index	Viewport index	Item Index	Item Code	Name (ENG)	Type	알림	Clear type	설명 (ENG)	
0	//버프 효과								
1	1	255	255	"Increase Attack Power"	0	1	1	"Attack power increases."	//공격력향상
2	2	255	255	"Increase Defense"	0	1	1	"Defensibility increases."	//방어력향상
3	3	255	255	"Shadow Phantom effect"	0	1	1	"Attack power and Defensibility increases"	//공방증가
4	4	255	255	"Soul Barrier"	0	1	1	"Manna absorbs the damage."	//물리공격방어
5	5	255	255	"Critical Damage increase"	0	1	1	"Critical damage increases."	//크리티컬데미지
6	6	255	255	"Infinity Arrow"	0	0	1	"Arrows do not become consumed."	//인피니티애로우
7	7	255	255	"AG recovery speed increase"	0	0	1	"Arrows do not become consumed."	//AG회복 속도 증가
8	8	255	255	"Swell Life"	0	1	1	"Health stat increases to maximum."	//체력증가
9	9	255	255	"Swell Mana"	0	0	1	"Mana stat increases to maximum."	//마나증가
10	10	255	255	"Potion of Blessing"	0	0	1	"Attack power +20%% increase"	//축복의물약
11	11	255	255	"Potion of Soul"	0	0	1	"AG recovery speed increase +8/Lightning and Ice resistance increase/attack speed increase +20"	//영혼의물약
12	12	255	255	"Abolish Magic"	0	0	1	""	//마법해제
13	13	255	255	"Gate Open/Close Status"	0	1	1	""	//성물 개/패 상태
14	14	255	255	"Watchtower"	0	1	1	"Watching over the castle."	//수성마크
15	14	255	255	"Besiegement Guild1"	0	1	1	"In the process of attacking the castle"	//공성마크
16	14	255	255	"Besiegement Guild2"	0	1	1	"In the process of attacking the castle"	//공성마크2
17	14	255	255	"Besiegement Guild3"	0	1	1	"In the process of attacking the castle"	//공성마크3
18	15	255	255	"Invisibility"	0	1	1	"Transparency Status"	//투명
19	16	255	255	"Dark Rod Battle Skill"	0	0	1	""	//다크로드 공성스킬
20	17	255	255	"Crown Registration Status"	0	1	1	""	//왕관 등록 상태
21	18	255	255	"Altar of Wolf contract enabled"	0	1	1	""	//늑대의 제단 계약가능
22	18	255	255	"Altar of Wolf contract disabled"	0	1	1	""	//늑대의 제단 계약불능
23	18	255	255	"Altar of Wolf contract Status"	0	1	1	""	//늑대의 제단 계약상태
24	18	255	255	"Altar of Wolf contract attempt"	0	1	1	""	//늑대의 제단 계약시도
25	18	255	255	"Altar of Wolf besiegement Status"	0	1	1	""	//늑대의 제단 점령상태
26	18	255	255	"Altar of Wolf hero contract Status"	0	1	1	""	//늑대의 제단 영웅 계약상태
27	19	255	255	"Cry Wolf NPC transparency"	0	1	1	""	//크라이울프 NPC투명
28	20	255	255	"GM"	0	1	1	""	//GM마크
29	60	13	43	"Seal of Ascension"	0	0	1	"EXP gain increase 50%%"	//PC방 포인트인장1
30	61	13	44	"Seal of Wealth"	0	0	1	"EXP gain increase 100%%/item gain increase 150%%"	//PC방 포인트인장2
31	62	13	45	"Seal of Sustenance"	0	0	1	"EXP gain disabled"	//PC방 포인트인장3
32	22	255	255	"Temple - Spell of Quickness"	0	0	1	""	//사원 - 신속의 주문
33	22	255	255	"Temple - Spell of Sublimation"	0	0	1	""	//사원 - 승화의주문
34	22	255	255	"Spell of Protection"	0	1	1	"Damage absorbed at 100%%."	//사원 - 보호의 주문
35	23	14	46	"Jack O'Lantern Blessings"	0	0	1	"Attack speed increase +10"	//잭오랜턴의축복
36	23	14	47	"Wrath of Jack O' Lantern"	0	0	1	"Attack Power, Magical Damage Increased by  +25"	//잭오랜턴의분노
37	23	14	48	"Jack O'Lantern Cry"	0	0	1	"Defensibility increase +100"	//잭오랜턴의외침
38	23	14	49	"Jack O'Lantern Food"	0	0	1	"Maximum Life increase +500"	//잭오랜턴의음식
39	23	14	50	"Jack O'Lantern Drink"	0	0	1	"Maximum Mana increase +500"	//잭오랜턴의음료
40	60	13	43	"Seal of Ascension"	0	1	1	"EXP gain increase 50%%"	//인장1
41	61	13	44	"Seal of Wealth"	0	1	1	"EXP gain increase 100%%/Item gain increase 150%%"	//인장2
42	65	13	45	"Seal of Sustenance"	0	1	1	"EXP gain disabled"	//인장3
43	57	13	59	"Seal of Mobility"	0	1	1	"Mobility enabled"	//인장4
44	67	14	72	"Scroll of Quickness"	0	1	1	"Attack speed increase +15"	//신속의스크롤
45	68	14	73	"Scroll of Defense"	0	1	1	"Defensibility increase +60"	//방어의스크롤
46	69	14	74	"Scroll of Wrath"	0	1	1	"Attack power increase +30"	//분노의스크롤
47	70	14	75	"Scroll of Wizardry"	0	1	1	"Wizardry increase +30"	//마력의스크롤
48	71	14	76	"Scroll of Health"	0	1	1	"HP increase +200"	//체력의스크롤
49	72	14	77	"Scroll of Mana"	0	1	1	"Mana increase +300"	//마나의스크롤
50	26	14	78	"Elixir of Strength"	0	1	1	"Strength Status +50"	//힘의비약
51	26	14	79	"Elixir of Agility"	0	1	1	"Agility Status +50"	//민첩의비약
52	26	14	80	"Elixir of Health"	0	1	1	"Health Status +50"	//체력의비약
53	26	14	81	"Elixir of Energy"	0	1	1	"Energy Status +50"	//에너지의비약
54	26	14	82	"Elixir of Control"	0	1	1	"Control Status +50"	//통솔의비약
55	27	255	255	"Poison"	1	1	1	"Poisoned status of condition"	//독
56	28	255	255	"Ice"	1	1	1	"Mobility speed decreases."	//얼음
57	29	255	255	"Iced Arrow"	1	1	1	"Mobility disabled"	//석화
58	30	255	255	"Defensibility reduction"	1	1	1	"Random defensibility decreases at 10%%."	//방어력감소
59	31	255	255	"Attack power reduction"	1	0	1	""	//공격력감소
60	32	255	255	"Wizardry increase reduction"	1	0	1	""	//마력감소
61	33	255	255	"Stun"	1	1	1	"Mobility disabled"	//스턴
62	34	255	255	"Magic Defense"	1	0	1	""	//마법방어
63	35	255	255	"Monster Magic Attack Resistance"	1	1	1	""	//몬스터저항효과
