//Index	File	PosX	PosY	PosZ	RotX	RotY	RotZ	Scale	Node	ParentRotation
47	Data\Effect\haze05-magenta01.ein	0	0	50	0	0	0	200	2	1
45	Data\Effect\sparkle10-white01.ein	0	0	-50	0	180	0	100	4	1
48	Data\Effect\haze01-magenta01.ein	0	0	70	0	180	0	80	3	1
49	Data\Effect\haze04-magenta01.ein	0	0	-50	0	0	0	70	0	1
113	Data\Effect\sparkle01-blue01.ein	0	0	0	0	0	180	50	0	1
37	Data\Effect\twinkle04-yellow01.ein	10	0	0	0	0	0	150	6	1
41	Data\Effect\twinkle05-blue01.ein	0	0	10	0	0	0	150	44	1
36	Data\Effect\haze05-red01.ein	0	0	0	0	0	0	50	4	1
36	Data\Effect\smoke05-red01.ein	0	0	-30	0	90	0	50	5	1
107	Data\Effect\sparkle10-white01.ein	0	0	0	0	-90	0	100	9	1
107	Data\Effect\sparkle10-white01.ein	0	0	0	0	-90	0	100	10	1
119	Data\Effect\fog02-white01.ein	0	0	0	0	0	0	300	0	1
120	Data\Effect\fog02-yellow01.ein	0	0	0	0	0	0	300	0	1
121	Data\Effect\fog02-green01.ein	0	0	0	0	0	0	300	0	1
122	Data\Effect\fog02-magenta01.ein	0	0	0	0	0	0	300	0	1
123	Data\Effect\fog02-red01.ein	0	0	0	0	0	0	300	0	1
129	Data\Effect\twinkle05-blue01.ein	0	0	30	0	0	0	130	2	1
129	Data\Effect\twinkle05-blue01.ein	0	0	30	0	0	0	130	3	1
129	Data\Effect\twinkle05-blue01.ein	0	0	30	0	0	0	130	4	1
129	Data\Effect\twinkle05-blue01.ein	0	0	50	0	0	0	180	5	1
129	Data\Effect\twinkle05-blue01.ein	0	0	30	0	0	0	130	6	1
144	Data\Effect\sparkle03-green01.ein	0	0	0	0	0	0	30	7	1
144	Data\Effect\twinkle05-green01.ein	0	0	0	0	0	0	70	7	1
144	Data\Effect\twinkle05-green01.ein	0	0	0	0	0	0	25	40	1
21	Data\Effect\snow01-white01.ein	0	0	0	0	180	0	30	0	1
19	Data\Effect\twinkle05-red01.ein	0	0	0	0	0	0	150	1	1
158	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	100	1	1
117	Data\Effect\twinkle05-blue01.ein	0	0	150	0	0	0	200	0	1
156	Data\Effect\twinkle05-blue01.ein	0	0	5	0	0	0	80	17	1
156	Data\Effect\twinkle05-blue01.ein	0	0	3	0	0	0	30	24	1
156	Data\Effect\twinkle05-blue01.ein	0	0	2	0	0	0	30	20	1
156	Data\Effect\twinkle05-blue01.ein	0	0	2	0	0	0	20	21	1
156	Data\Effect\twinkle05-blue01.ein	0	0	1	0	0	0	20	19	1
156	Data\Effect\twinkle05-blue01.ein	0	0	0	0	0	0	20	23	1
