////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																								
//	[ Text  Version ]				0.0.0.8																																			
//	[File Name]				ItemLevelTooltip.txt																																			
//	[서버/클라]				클라이언트 전용																																			
//	[ 최종 작업자 ]				사재일																																			
//	[ 최종 작업일 ]				2014-07-22 3:24 PM																																			
//	[ 작 업 내 용 ]				시련의광장(Battle) 경험치보상사용불가로 제거																																			
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																																								
// 아이템의 레벨에 따라서 아이템 자체가 달라지는 경우 이곳에 입력 (기존의 아이템을 변경 할 수 없어서 만들어짐, 이후 제작되는 아이템은 절대 이 방법을 쓰지 말것!!)																																								
//Index	Item Name	ItemType	ItemIndex	Level	Name Color	Name Bold	Sell Ban	Desc 1 Idx	1 Color	1 Bold	Desc 2 Idx	2 Color	2 Bold	Desc 3 Idx	3 Color	3 Bold	Desc 4 Idx	4 Color	4 Bold	Desc 5 Idx	5 Color	5 Bold	Desc 6 Idx	6 Color	6 Bold	Desc 7 Idx	7 Color	7 Bold	Desc 8 Idx	8 Color	8 Bold	Desc 9 Idx	9 Color	9 Bold	Desc 10 Idx	10 Color	10 Bold	Desc 11 Idx	11 Color	11 Bold
//WORD	CHAR[64]	BYTE	BYTE	BYTE	BYTE	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE	SHORT	BYTE	BYTE
0	"Scroll of the Emperor"	14	23	0	0	1	1	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
1	"Ring of Honor"	14	23	1	0	1	0	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
2	"Broken Sword"	14	24	0	3	1	1	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
3	"Dark Stone"	14	24	1	3	1	0	195	0	0	196	2	0	197	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
4	"Box of Luck"	14	11	0	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
5	"Star of the Sacred Birth"	14	11	1	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
6	"Firecracker"	14	11	2	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
7	"Heart of Love"	14	11	3	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
8	"Olive of Love"	14	11	4	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
9	"Silver Medal"	14	11	5	3	1	1	40	0	0	286	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0
