////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////				
//	[ Text  Version ]		0.0.0.1	
//	[ 최종 작업자 ]		사재일	
//	[ 최종 작업일 ]		2015-03-10 15:32	
//	[ 작 업 내 용 ]		최초 작성	
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////				
				
// MixSlotFrame 테이블				
// 클라이언트 전용				
// 각 아이템에 맞는 이미지를 결정짓는 테이블				
// Frame No.는 참고 탭 참조				
// Type 예외 : 물음표는 -1, 세트아이템은 100을 사용한다.				
// 기존 아이템 범위를 벗어난 타입은 중복해서 사용할 수 없다.				
// Frame No. = 0,1 값은 사용 금지. (1일 경우는 아무것도 없는 상태)				
				
//Type	Index	Frame No.		
12	221	2	// 분노의 에르텔	
12	231	3	// 가호의 에르텔	
12	241	4	// 고결의 에르텔	
12	251	5	// 신성의 에르텔	
12	261	6	// 광휘의 에르텔	
12	145	7	// 미스릴	
12	288	8	// 엘리멘탈 룬	
12	151	9	// 정령 가루	
14	13	10	// 축복의보석	
12	30	11	// 축복의보석 묶음	
12	15	12	// 혼돈의보석	
14	189	14	// 속성 행운의 부적	
14	190	14	// 속성 카오스 조합 부적	
//14	297	18	// 가호 슬롯 조각(1)	
//15	298	19	// 가호 슬롯 조각(2)	
//16	299	20	// 가호 슬롯 조각(3)	
//17	300	21	// 가호 슬롯 조각(4)	
//18	301	18	// 고결 슬롯 조각(1)	
//19	302	19	// 고결 슬롯 조각(2)	
//20	303	20	// 고결 슬롯 조각(3)	
//21	304	21	// 고결 슬롯 조각(4)	
//22	305	18	// 신성 슬롯 조각(1)	
//23	306	19	// 신성 슬롯 조각(2)	
//24	307	20	// 신성 슬롯 조각(3)	
//25	308	21	// 신성 슬롯 조각(4)	
14	309	18	// 광휘 슬롯 조각(1)	
14	310	19	// 광휘 슬롯 조각(2)	
14	311	20	// 광휘 슬롯 조각(3)	
14	312	21	// 광휘 슬롯 조각(4)	
//14	313	22	// 가호 슬롯 확장서	
//15	314	23	// 고결 슬롯 확장서	
//16	315	24	// 신성 슬롯 확장서	
14	316	25	// 광휘 슬롯 확장서	
14	317	27	// 속성 교환 부적	
//14	321	26	// 불 속성 방어 상성 저항제	
//15	322	26	// 물 속성 방어 상성 저항제	
//16	323	26	// 땅 속성 방어 상성 저항제	
//17	324	26	// 바람 속성 방어 상성 저항제	
//18	325	26	// 암흑 속성 방어 상성 저항제	
14	22	30	// 창조의보석	
14	31	31	// 수호의보석	
14	42	32	// 조화의보석	
14	14	33	// 영혼의보석	
14	364	34	// 소켓업그레이드쪽지   	
12	401	35	// 스피어강화룬	
100	-1	13	// 세트, 엑설런트 아이템	
101	-1	17	// 물음표	
102	-1	28	// 소켓아이템	
end				
