//Index	File	PosX	PosY	PosZ	RotX	RotY	RotZ	Scale	Node	ParentRotation
173	Data\Effect\leaf_particle_F.ein	-55	11	0	90	57	0	9	5	1
174	Data\Effect\leaf_particle_Fe.ein	0	0	0	90	57	0	9	5	1
175	Data\Effect\leaf_particle_F2.ein	-55	11	0	90	57	0	9	5	1
176	Data\Effect\leaf_particle_F2e.ein	0	0	0	90	57	0	9	5	1
177	Data\Effect\leaf_particle_F3.ein	-55	10	0	90	57	0	9	5	1
178	Data\Effect\leaf_particle_F3e.ein	0	0	0	90	57	0	9	5	1
183	Data\Effect\spark_particle01.ein	-55	22	0	90	57	0	10	5	0
184	Data\Effect\spark_paritlce.ein	0	0	0	90	57	0	9	5	0
189	Data\Effect\music_particle.ein	-25	22	0	90	25	0	9	5	1
190	Data\Effect\music_particle_f1.ein	-25	22	0	90	25	0	9	5	1
214	Data\Effect\music_particle.ein	-25	22	0	90	25	0	9	3	1
215	Data\Effect\music_particle_f1.ein	0	0	0	90	25	0	9	3	1
234	Data\Effect\music_particle.ein	-25	22	0	90	25	0	9	3	1
235	Data\Effect\music_particle_f1.ein	-25	22	0	90	25	0	9	3	1
