//type	index	red	green	blue
0	14	0	127	255
0	20	191	165	127
0	21	255	255	255
0	22	127	102	76
0	23	76	76	114
0	24	153	127	51
0	25	127	153	178
0	28	204	204	255
0	30	255	255	255
0	31	191	165	127
0	32	165	114	76
0	33	204	102	0
0	34	127	102	76
0	35	127	204	229
0	37	0	127	255
0	38	255	229	153
0	39	0	127	255
0	40	165	114	76
0	42	204	216	229
0	43	204	216	229
0	44	255	255	255
0	45	204	216	229
0	46	204	216	229
0	47	204	216	229
0	50	204	102	0
0	51	255	178	63
0	52	89	165	255
0	53	229	178	114
0	54	229	178	114
0	55	129	142	103
0	56	136	128	88
0	57	255	212	151
2	8	127	127	204
2	9	191	165	127
2	10	119	170	153
2	12	165	114	76
2	14	114	114	58
2	15	114	114	58
2	17	178	51	51
2	18	255	255	255
2	19	127	127	204
2	20	255	255	255
2	21	191	165	127
2	22	204	216	229
2	23	204	216	229
2	25	255	178	63
2	26	134	126	83
3	10	127	127	204
3	11	76	178	76
3	12	255	255	255
3	13	102	178	255
3	14	204	216	229
3	15	229	204	255
3	16	204	117	63
3	17	204	178	76
3	18	204	51	25
3	19	204	216	229
3	20	204	216	229
3	21	229	204	255
3	22	127	178	255
3	23	216	153	153
4	5	255	255	255
4	13	255	255	255
4	17	127	127	204
4	18	191	165	127
4	19	127	127	204
4	20	165	114	76
4	21	76	178	76
4	22	76	178	76
4	23	178	102	102
4	24	127	127	178
4	25	153	204	102
4	26	153	153	153
4	27	255	255	255
4	28	204	216	229
4	29	127	127	204
4	30	255	178	63
4	31	185	176	76
4	32	117	140	78
4	33	119	127	71
4	34	161	95	76
4	35	102	98	91
4	37	169	157	120
5	5	0	127	255
5	9	255	255	255
5	11	165	114	76
5	12	94	94	255
5	13	153	153	153
5	14	153	127	51
5	15	51	76	153
5	16	255	51	0
5	17	0	127	255
5	18	178	76	76
5	19	127	102	255
5	20	153	102	204
5	22	255	51	0
5	30	255	51	0
5	31	94	94	255
5	32	165	76	63
5	33	204	153	51
5	34	255	255	255
5	35	255	255	255
5	37	204	153	51
5	38	0	127	255
5	39	255	51	0
5	40	255	51	0
5	41	204	216	229
5	42	204	216	229
5	43	127	25	0
5	44	204	216	229
5	45	0	127	255
5	46	255	51	0
5	49	255	178	63
5	50	255	178	63
5	51	229	178	114
5	52	217	197	117
5	53	164	112	198
6	16	153	204	102
6	19	51	178	76
6	20	127	127	178
6	21	178	76	76
6	22	204	216	229
6	23	165	76	63
6	24	229	0	0
6	25	165	165	140
6	26	0	127	255
6	29	102	204	255
6	30	229	204	255
6	31	204	51	25
6	32	229	204	63
6	33	204	216	229
6	34	204	216	229
6	35	204	216	229
6	36	204	216	229
6	38	178	76	76
6	39	229	204	255
6	40	127	178	255
6	41	216	153	153
7	1	255	51	0
7	3	0	127	255
7	4	255	255	255
7	6	153	204	102
7	7	204	178	102
7	9	0	127	255
7	12	0	127	255
7	13	0	204	102
7	14	255	255	255
7	15	229	204	255
7	16	191	165	127
7	17	127	127	204
7	18	255	255	255
7	19	127	127	204
7	20	127	127	204
7	21	204	117	63
7	22	165	114	76
7	23	89	89	153
7	24	204	117	63
7	25	89	89	153
7	26	119	170	153
7	27	191	165	127
7	28	51	76	153
7	29	127	102	76
7	30	94	94	255
7	31	76	178	76
7	32	127	102	255
7	33	114	114	58
7	34	153	127	51
7	35	153	153	153
7	36	76	178	76
7	37	127	153	178
7	38	114	114	58
7	39	51	178	76
7	40	178	76	76
7	41	178	127	76
7	42	127	51	178
7	43	204	102	153
7	44	153	102	204
7	45	127	127	178
7	46	204	102	0
7	47	178	127	178
7	48	255	51	0
7	49	178	102	102
7	50	76	153	102
7	51	178	51	51
7	52	127	127	178
7	53	178	51	51
7	54	204	216	229
7	55	229	0	0
7	56	153	204	102
7	57	229	0	0
7	58	0	127	255
7	59	204	117	63
7	60	204	102	0
7	61	127	102	76
7	73	127	204	229
7	74	204	153	51
7	75	165	76	63
7	76	204	216	229
7	77	255	229	153
7	78	255	51	0
7	79	0	127	255
7	80	255	255	255
7	81	89	89	153
7	82	178	76	76
7	83	204	117	63
7	91	102	178	255
7	92	127	204	165
7	93	229	204	255
7	94	191	255	153
7	95	127	76	25
7	98	204	216	229
7	99	204	216	229
7	100	204	216	229
7	101	204	216	229
7	102	204	216	229
7	103	204	216	229
7	104	204	216	229
7	105	204	216	229
7	106	255	146	76
7	107	255	146	76
7	108	255	146	76
7	109	255	146	76
7	110	255	146	76
7	111	255	146	76
7	112	255	146	76
7	113	255	146	76
7	114	255	146	76
7	115	204	216	229
7	116	204	216	229
7	117	204	216	229
7	118	204	216	229
7	119	204	216	229
7	120	204	216	229
7	121	204	216	229
7	122	204	216	229
7	123	204	216	229
7	124	204	216	229
7	125	204	216	229
7	126	204	216	229
7	127	204	216	229
7	128	204	216	229
7	129	204	216	229
7	130	255	51	0
7	131	0	127	255
7	132	255	255	255
7	133	229	204	255
7	134	119	170	153
7	135	178	76	76
7	136	204	102	0
7	138	140	140	191
7	139	76	76	204
7	140	178	153	140
7	141	204	127	178
7	142	114	96	51
7	143	102	153	132
7	144	178	153	102
7	145	165	127	51
7	146	89	165	255
7	147	229	178	114
7	148	127	178	255
7	149	216	153	153
7	150	122	147	99
7	151	122	147	99
7	152	122	147	99
7	153	122	147	99
7	154	122	147	99
7	155	122	147	99
7	156	122	147	99
7	157	122	147	99
8	1	255	51	0
8	3	0	127	255
8	4	255	255	255
8	6	153	204	102
8	7	204	178	102
8	9	0	127	255
8	12	0	127	255
8	13	0	204	102
8	14	255	255	255
8	15	229	204	255
8	16	191	165	127
8	17	127	127	204
8	18	255	255	255
8	19	127	127	204
8	20	127	127	204
8	21	204	117	63
8	22	165	114	76
8	23	89	89	153
8	24	204	117	63
8	25	89	89	153
8	26	119	170	153
8	27	191	165	127
8	28	51	76	153
8	29	127	102	76
8	30	94	94	255
8	31	76	178	76
8	32	127	102	255
8	33	114	114	58
8	34	153	127	51
8	35	153	153	153
8	36	76	178	76
8	37	127	153	178
8	38	114	114	58
8	39	51	178	76
8	40	178	76	76
8	41	178	127	76
8	42	127	51	178
8	43	204	102	153
8	44	153	102	204
8	45	127	127	178
8	46	204	102	0
8	47	178	127	178
8	48	255	51	0
8	49	178	102	102
8	50	76	153	102
8	51	178	51	51
8	52	127	127	178
8	53	178	51	51
8	54	204	216	229
8	55	229	0	0
8	56	153	204	102
8	57	229	0	0
8	58	0	127	255
8	59	204	117	63
8	60	204	102	0
8	61	127	102	76
8	73	127	204	229
8	74	204	153	51
8	75	165	76	63
8	76	204	216	229
8	77	255	229	153
8	78	255	51	0
8	79	0	127	255
8	80	255	255	255
8	81	89	89	153
8	82	178	76	76
8	83	204	117	63
8	91	102	178	255
8	92	127	204	165
8	93	229	204	255
8	94	191	255	153
8	95	127	76	25
8	98	204	216	229
8	99	204	216	229
8	100	204	216	229
8	101	204	216	229
8	102	204	216	229
8	103	204	216	229
8	104	204	216	229
8	105	204	216	229
8	106	255	146	76
8	107	255	146	76
8	108	255	146	76
8	109	255	146	76
8	110	255	146	76
8	111	255	146	76
8	112	255	146	76
8	113	255	146	76
8	114	255	146	76
8	115	204	216	229
8	116	204	216	229
8	117	204	216	229
8	118	204	216	229
8	119	204	216	229
8	120	204	216	229
8	121	204	216	229
8	122	204	216	229
8	123	204	216	229
8	124	204	216	229
8	125	204	216	229
8	126	204	216	229
8	127	204	216	229
8	128	204	216	229
8	129	204	216	229
8	130	255	51	0
8	131	0	127	255
8	132	255	255	255
8	133	229	204	255
8	134	119	170	153
8	135	178	76	76
8	136	204	102	0
8	138	140	140	191
8	139	76	76	204
8	140	178	153	140
8	141	204	127	178
8	142	114	96	51
8	143	102	153	132
8	144	178	153	102
8	145	165	127	51
8	146	89	165	255
8	147	229	178	114
8	148	127	178	255
8	149	216	153	153
8	150	122	147	99
8	151	122	147	99
8	152	122	147	99
8	153	122	147	99
8	154	122	147	99
8	155	122	147	99
8	156	122	147	99
8	157	122	147	99
9	1	255	51	0
9	3	0	127	255
9	4	255	255	255
9	6	153	204	102
9	7	204	178	102
9	9	0	127	255
9	12	0	127	255
9	13	0	204	102
9	14	255	255	255
9	15	229	204	255
9	16	191	165	127
9	17	127	127	204
9	18	255	255	255
9	19	127	127	204
9	20	127	127	204
9	21	204	117	63
9	22	165	114	76
9	23	89	89	153
9	24	204	117	63
9	25	89	89	153
9	26	119	170	153
9	27	191	165	127
9	28	51	76	153
9	29	127	102	76
9	30	94	94	255
9	31	76	178	76
9	32	127	102	255
9	33	114	114	58
9	34	153	127	51
9	35	153	153	153
9	36	76	178	76
9	37	127	153	178
9	38	114	114	58
9	39	51	178	76
9	40	178	76	76
9	41	178	127	76
9	42	127	51	178
9	43	204	102	153
9	44	153	102	204
9	45	127	127	178
9	46	204	102	0
9	47	178	127	178
9	48	255	51	0
9	49	178	102	102
9	50	76	153	102
9	51	178	51	51
9	52	127	127	178
9	53	178	51	51
9	54	204	216	229
9	55	229	0	0
9	56	153	204	102
9	57	229	0	0
9	58	0	127	255
9	59	204	117	63
9	60	204	102	0
9	61	127	102	76
9	73	127	204	229
9	74	204	153	51
9	75	165	76	63
9	76	204	216	229
9	77	255	229	153
9	78	255	51	0
9	79	0	127	255
9	80	255	255	255
9	81	89	89	153
9	82	178	76	76
9	83	204	117	63
9	91	102	178	255
9	92	127	204	165
9	93	229	204	255
9	94	191	255	153
9	95	127	76	25
9	98	204	216	229
9	99	204	216	229
9	100	204	216	229
9	101	204	216	229
9	102	204	216	229
9	103	204	216	229
9	104	204	216	229
9	105	204	216	229
9	106	255	146	76
9	107	255	146	76
9	108	255	146	76
9	109	255	146	76
9	110	255	146	76
9	111	255	146	76
9	112	255	146	76
9	113	255	146	76
9	114	255	146	76
9	115	204	216	229
9	116	204	216	229
9	117	204	216	229
9	118	204	216	229
9	119	204	216	229
9	120	204	216	229
9	121	204	216	229
9	122	204	216	229
9	123	204	216	229
9	124	204	216	229
9	125	204	216	229
9	126	204	216	229
9	127	204	216	229
9	128	204	216	229
9	129	204	216	229
9	130	255	51	0
9	131	0	127	255
9	132	255	255	255
9	133	229	204	255
9	134	119	170	153
9	135	178	76	76
9	136	204	102	0
9	138	140	140	191
9	139	76	76	204
9	140	178	153	140
9	141	204	127	178
9	142	114	96	51
9	143	102	153	132
9	144	178	153	102
9	145	165	127	51
9	146	89	165	255
9	147	229	178	114
9	148	127	178	255
9	149	216	153	153
9	150	122	147	99
9	151	122	147	99
9	152	122	147	99
9	153	122	147	99
9	154	122	147	99
9	155	122	147	99
9	156	122	147	99
9	157	122	147	99
10	1	255	51	0
10	3	0	127	255
10	4	255	255	255
10	6	153	204	102
10	7	204	178	102
10	9	0	127	255
10	12	0	127	255
10	13	0	204	102
10	14	255	255	255
10	15	229	204	255
10	16	191	165	127
10	17	127	127	204
10	18	255	255	255
10	19	127	127	204
10	20	127	127	204
10	21	204	117	63
10	22	165	114	76
10	23	89	89	153
10	24	204	117	63
10	25	89	89	153
10	26	119	170	153
10	27	191	165	127
10	28	51	76	153
10	29	127	102	76
10	30	94	94	255
10	31	76	178	76
10	32	127	102	255
10	33	114	114	58
10	34	153	127	51
10	35	153	153	153
10	36	76	178	76
10	37	127	153	178
10	38	114	114	58
10	39	51	178	76
10	40	178	76	76
10	41	178	127	76
10	42	127	51	178
10	43	204	102	153
10	44	153	102	204
10	45	127	127	178
10	46	204	102	0
10	47	178	127	178
10	48	255	51	0
10	49	178	102	102
10	50	76	153	102
10	51	178	51	51
10	52	127	127	178
10	53	178	51	51
10	54	204	216	229
10	55	229	0	0
10	56	153	204	102
10	57	229	0	0
10	58	0	127	255
10	59	204	117	63
10	60	204	102	0
10	61	127	102	76
10	73	127	204	229
10	74	204	153	51
10	75	165	76	63
10	76	204	216	229
10	77	255	229	153
10	78	255	51	0
10	79	0	127	255
10	80	255	255	255
10	81	89	89	153
10	82	178	76	76
10	83	204	117	63
10	91	102	178	255
10	92	127	204	165
10	93	229	204	255
10	94	191	255	153
10	95	127	76	25
10	98	204	216	229
10	99	204	216	229
