/////////////////////////////////////////////////////////////////////////														
// 최초 적용일	Season11 P.2													
// 스크립트 사용	서버/클라이언트 공용													
// 스크립트 이름	SocketItemUpgrade													
// 문서 버전	0.0.0.1													
// 최종 작업자	사재일													
// 최종 작업일	2016-06-13 16:08													
// 작업 내용	소켓업그레이 조합													
/////////////////////////////////////////////////////////////////////////														
// 0번 테이블은 메인조합재료 소켓아이템 조건을 설정한다.														
// 1번 테이블은 서브조합재료 조건을 설정한다.  (ID :Min ~ Max 설정가능)														
// 2번 테이블은 조합성공 시 조합결과 아이템 조건을 설정한다. 														
// 3번 테이블은 조합실패 시 조합결과 아이템 조건을 설정한다.														
//														
// 예시1 ) 0번 테이블에서 7번 ID에 등록된 메인조합재료가 등록되는 경우 1, 2, 3번 테이블의 7번 조합설정을 갖게 된다.														
//														
0	// 메인조합재료													
//ID	itemType	ItemIndex	Level (min)	Level (max)	skill	Option	시드스피어 장착여부	최소 소켓개수 조건	ZEN	Success rate(1/10000)				
0	5	31	11	15	0	0	0	2	10000000	8000				
1	6	20	11	15	0	0	0	2	10000000	8000				
2	7	52	11	15	0	0	0	2	10000000	8000				
3	8	52	11	15	0	0	0	2	10000000	8000				
4	9	52	11	15	0	0	0	2	10000000	8000				
5	10	52	11	15	0	0	0	2	10000000	8000				
6	11	52	11	15	0	0	0	2	10000000	8000				
7	0	26	11	15	0	0	0	2	10000000	8000				
8	7	45	11	15	0	0	0	2	10000000	8000				
9	8	45	11	15	0	0	0	2	10000000	8000				
10	9	45	11	15	0	0	0	2	10000000	8000				
11	10	45	11	15	0	0	0	2	10000000	8000				
12	11	45	11	15	0	0	0	2	10000000	8000				
13	0	27	11	15	0	0	0	2	10000000	8000				
14	7	46	11	15	0	0	0	2	10000000	8000				
15	8	46	11	15	0	0	0	2	10000000	8000				
16	9	46	11	15	0	0	0	2	10000000	8000				
17	10	46	11	15	0	0	0	2	10000000	8000				
18	11	46	11	15	0	0	0	2	10000000	8000				
19	4	23	11	15	0	0	0	2	10000000	8000				
20	6	19	11	15	0	0	0	2	10000000	8000				
21	7	49	11	15	0	0	0	2	10000000	8000				
22	8	49	11	15	0	0	0	2	10000000	8000				
23	9	49	11	15	0	0	0	2	10000000	8000				
24	10	49	11	15	0	0	0	2	10000000	8000				
25	11	49	11	15	0	0	0	2	10000000	8000				
26	7	50	11	15	0	0	0	2	10000000	8000				
27	8	50	11	15	0	0	0	2	10000000	8000				
28	9	50	11	15	0	0	0	2	10000000	8000				
29	10	50	11	15	0	0	0	2	10000000	8000				
30	11	50	11	15	0	0	0	2	10000000	8000				
31	0	28	11	15	0	0	0	2	10000000	8000				
32	5	30	11	15	0	0	0	2	10000000	8000				
33	6	18	11	15	0	0	0	2	10000000	8000				
34	8	47	11	15	0	0	0	2	10000000	8000				
35	9	47	11	15	0	0	0	2	10000000	8000				
36	10	47	11	15	0	0	0	2	10000000	8000				
37	11	47	11	15	0	0	0	2	10000000	8000				
38	5	30	11	15	0	0	0	2	10000000	8000				
39	8	48	11	15	0	0	0	2	10000000	8000				
40	9	48	11	15	0	0	0	2	10000000	8000				
41	10	48	11	15	0	0	0	2	10000000	8000				
42	11	48	11	15	0	0	0	2	10000000	8000				
43	2	17	11	15	0	0	0	2	10000000	8000				
44	7	51	11	15	0	0	0	2	10000000	8000				
45	8	51	11	15	0	0	0	2	10000000	8000				
46	9	51	11	15	0	0	0	2	10000000	8000				
47	10	51	11	15	0	0	0	2	10000000	8000				
48	11	51	11	15	0	0	0	2	10000000	8000				
49	5	20	11	15	0	0	0	2	10000000	8000				
50	7	44	11	15	0	0	0	2	10000000	8000				
51	8	44	11	15	0	0	0	2	10000000	8000				
52	9	44	11	15	0	0	0	2	10000000	8000				
53	10	44	11	15	0	0	0	2	10000000	8000				
54	11	44	11	15	0	0	0	2	10000000	8000				
55	0	52	11	15	0	0	0	2	10000000	8000				
56	7	146	11	15	0	0	0	2	10000000	8000				
57	8	146	11	15	0	0	0	2	10000000	8000				
58	9	146	11	15	0	0	0	2	10000000	8000				
59	11	146	11	15	0	0	0	2	10000000	8000				
60	3	22	11	15	0	0	0	2	10000000	8000				
61	6	40	11	15	0	0	0	2	10000000	8000				
62	7	148	11	15	0	0	0	2	10000000	8000				
63	8	148	11	15	0	0	0	2	10000000	8000				
64	9	148	11	15	0	0	0	2	10000000	8000				
65	10	148	11	15	0	0	0	2	10000000	8000				
66	11	148	11	15	0	0	0	2	10000000	8000				
67	6	17	11	15	0	0	0	2	10000000	8000				
end														
1	//서브조합재료													
//ID (min)	ID (max)	itemType	ItemIndex	아이템체크1 (레벨값)	아이템체크2 (내구값)	등록 아이템개수	// 아이템체크1, 2 값이 둘다 사용될 수 없음							
0	67	14	364	-1	-1	1								
0	67	14	13	-1	-1	5								
0	67	14	14	-1	-1	5								
0	67	12	15	-1	-1	1								
end														
2	//조합 성공 시 업그레이드결과													
//ID	result rate(1/10000)	itemType	ItemIndex	Item Level 	스킬 지급 조건	Skill Rate	행운 지급 조건	LUCK Rate	슬롯 지급 조건	Slot Rate(1)	Slot Rate(2)	Slot Rate(3)	Slot Rate(4)	Slot Rate(5)
0	8000	5	35	0	0	2000	0	2000	0	3000	4500	2500	0	0
1	8000	6	24	0	0	2000	0	2000	0	3000	4500	2500	0	0
2	8000	7	55	0	0	2000	0	2000	0	3000	4500	2500	0	0
3	8000	8	55	0	0	2000	0	2000	0	3000	4500	2500	0	0
4	8000	9	55	0	0	2000	0	2000	0	3000	4500	2500	0	0
5	8000	10	55	0	0	2000	0	2000	0	3000	4500	2500	0	0
6	8000	11	55	0	0	2000	0	2000	0	3000	4500	2500	0	0
7	8000	0	36	0	0	2000	0	2000	0	3000	4500	2500	0	0
8	8000	7	74	0	0	2000	0	2000	0	3000	4500	2500	0	0
9	8000	8	74	0	0	2000	0	2000	0	3000	4500	2500	0	0
10	8000	9	74	0	0	2000	0	2000	0	3000	4500	2500	0	0
11	8000	10	74	0	0	2000	0	2000	0	3000	4500	2500	0	0
12	8000	11	74	0	0	2000	0	2000	0	3000	4500	2500	0	0
13	8000	0	29	0	0	2000	0	2000	0	3000	4500	2500	0	0
14	8000	7	54	0	0	2000	0	2000	0	3000	4500	2500	0	0
15	8000	8	54	0	0	2000	0	2000	0	3000	4500	2500	0	0
16	8000	9	54	0	0	2000	0	2000	0	3000	4500	2500	0	0
17	8000	10	54	0	0	2000	0	2000	0	3000	4500	2500	0	0
18	8000	11	54	0	0	2000	0	2000	0	3000	4500	2500	0	0
19	8000	4	25	0	0	2000	0	2000	0	1450	2500	2250	2000	1800
20	8000	6	23	0	0	2000	0	2000	0	3000	4500	2500	0	0
21	8000	7	56	0	0	2000	0	2000	0	3000	4500	2500	0	0
22	8000	8	56	0	0	2000	0	2000	0	3000	4500	2500	0	0
23	8000	9	56	0	0	2000	0	2000	0	3000	4500	2500	0	0
24	8000	10	56	0	0	2000	0	2000	0	3000	4500	2500	0	0
25	8000	11	56	0	0	2000	0	2000	0	3000	4500	2500	0	0
26	8000	7	75	0	0	2000	0	2000	0	3000	4500	2500	0	0
27	8000	8	75	0	0	2000	0	2000	0	3000	4500	2500	0	0
28	8000	9	75	0	0	2000	0	2000	0	3000	4500	2500	0	0
29	8000	10	75	0	0	2000	0	2000	0	3000	4500	2500	0	0
30	8000	11	75	0	0	2000	0	2000	0	3000	4500	2500	0	0
31	8000	0	30	0	0	2000	0	2000	0	3000	4500	2500	0	0
32	8000	5	35	0	0	2000	0	2000	0	3000	4500	2500	0	0
33	8000	6	25	0	0	2000	0	2000	0	3000	4500	2500	0	0
34	8000	8	57	0	0	2000	0	2000	0	3000	4500	2500	0	0
35	8000	9	57	0	0	2000	0	2000	0	3000	4500	2500	0	0
36	8000	10	57	0	0	2000	0	2000	0	3000	4500	2500	0	0
37	8000	11	57	0	0	2000	0	2000	0	3000	4500	2500	0	0
38	8000	5	35	0	0	2000	0	2000	0	3000	4500	2500	0	0
39	8000	8	76	0	0	2000	0	2000	0	3000	4500	2500	0	0
40	8000	9	76	0	0	2000	0	2000	0	3000	4500	2500	0	0
41	8000	10	76	0	0	2000	0	2000	0	3000	4500	2500	0	0
42	8000	11	76	0	0	2000	0	2000	0	3000	4500	2500	0	0
43	8000	2	19	0	0	2000	0	2000	0	3000	4500	2500	0	0
44	8000	7	58	0	0	2000	0	2000	0	3000	4500	2500	0	0
45	8000	8	58	0	0	2000	0	2000	0	3000	4500	2500	0	0
46	8000	9	58	0	0	2000	0	2000	0	3000	4500	2500	0	0
47	8000	10	58	0	0	2000	0	2000	0	3000	4500	2500	0	0
48	8000	11	58	0	0	2000	0	2000	0	3000	4500	2500	0	0
49	8000	5	32	0	0	2000	0	2000	0	3000	4500	2500	0	0
50	8000	7	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
51	8000	8	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
52	8000	9	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
53	8000	10	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
54	8000	11	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
55	8000	0	53	0	0	2000	0	2000	0	3000	4500	2500	0	0
56	8000	7	147	0	0	2000	0	2000	0	3000	4500	2500	0	0
57	8000	8	147	0	0	2000	0	2000	0	3000	4500	2500	0	0
58	8000	9	147	0	0	2000	0	2000	0	3000	4500	2500	0	0
59	8000	11	147	0	0	2000	0	2000	0	3000	4500	2500	0	0
60	8000	3	23	0	0	2000	0	2000	0	3000	4500	2500	0	0
