0		//SuccesProbability																
//0	1	2	3	4	5	6	7	8	9	10	//에르텔 강화수치							
1	2	3	5	15	25	40	50	60	75	90	//확률							
end																		
1		//0에서 속성이 붙는 것으로 결정이 되면, 속성방어력 증가가 붙는다.																
//Index	Probability	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	//추후 25까지 확장 예정
0	1000000	25	35	45	55	65	75	85	96	107	118	130	142	154	167	180	193	//
end																		
2																		
//Index	Probability	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	//추후 25까지 확장 예정
//	속성 방어력 증가는 기본 값으로 설정된다.																	
0	130000	20	23	27	32	38	45	53	62	72	83	95	108	122	137	153	170	// 속성공격력상승
1	130000	5	10	15	20	26	32	38	45	52	59	67	75	84	93	104	125	// 속성공격성공율 증가
2	130000	5	10	15	20	26	32	38	45	52	59	67	75	84	93	104	125	// 속성방어성공율증가
3	80000	30	34	39	45	52	60	69	79	90	102	115	129	144	160	177	195	// 속성 공격력(II) %d증가
4	130000	4	6	8	10	13	16	19	23	27	31	36	41	46	52	58	64	// 속성 방어력(II) %d증가
5	80000	10	15	25	35	46	57	68	80	92	104	117	130	144	158	174	200	// 속성 공격 성공율(II) %d증가
6	80000	10	15	25	35	46	57	68	80	92	104	117	130	144	158	174	200	// 속성 방어 성공율(II) %d증가
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	// 예상 속성을 보여주기 위한 인덱스(클라필요)
//	1000000	760000	240000															
end																		
3		//속성 레벨업을 위한 재료 아이템과 개수(PentagramMixNeedSource의 7번 값과 동일한 값으로 작성해야 함)																
//index	Probability	type1	index1	count1	type2	index2	count2	type2	index2	count2	zen							
0	500000	12	288	1	-1	-1	-1	-1	-1	-1	1000000							
1	500000	12	288	1	-1	-1	-1	-1	-1	-1	1500000							
2	500000	12	288	1	-1	-1	-1	-1	-1	-1	2000000							
3	450000	12	288	2	-1	-1	-1	-1	-1	-1	2500000							
4	450000	12	288	3	-1	-1	-1	-1	-1	-1	3000000							
5	450000	12	288	3	-1	-1	-1	-1	-1	-1	3500000							
6	450000	12	288	4	-1	-1	-1	-1	-1	-1	4000000							
7	400000	12	288	5	-1	-1	-1	-1	-1	-1	4500000							
8	400000	12	288	6	-1	-1	-1	-1	-1	-1	5000000							
9	400000	12	288	7	-1	-1	-1	-1	-1	-1	5500000							
10	350000	12	288	8	-1	-1	-1	-1	-1	-1	6000000							
11	350000	12	288	9	-1	-1	-1	-1	-1	-1	6500000							
12	350000	12	288	10	-1	-1	-1	-1	-1	-1	7000000							
13	300000	12	288	11	-1	-1	-1	-1	-1	-1	7500000							
14	300000	12	288	12	-1	-1	-1	-1	-1	-1	8000000							
end																		
