///////////////////////////////////////////////////////////////////////////////////////////////				
//	[ Text Version ]			
//	[ 국가]			
//	[ 사용]			
//	[ Athor ]			
//	[ Data ]			
//	[ 내용 ]			
///////////////////////////////////////////////////////////////////////////////////////////////				
// MAX : 1024				
//Monster Index	Ypose	징표값	속성 이펙트 표시여부	NPCName (ENG)
//블러드캐슬				
//블러드캐슬1				
84	250	0	0	"Chief Skeleton Warrior"
85	250	0	0	"Chief Skeleton Archer"
86	250	0	0	"Dark Skull Soldier"
87	250	0	0	"Giant Ogre"
88	200	0	0	"Red Skeleton Knight"
89	260	0	0	"Magic Skeleton"
//블러드캐슬2				
90	250	0	0	"Chief Skeleton Warrior"
91	250	0	0	"Chief Skeleton Archer"
92	250	0	0	"Dark Skull Soldier"
93	250	0	0	"Giant Ogre"
94	200	0	0	"Red Skeleton Knight"
95	260	0	0	"Magic Skeleton"
//블러드캐슬3				
96	250	0	0	"Chief Skeleton Warrior"
97	250	0	0	"Chief Skeleton Archer"
98	250	0	0	"Dark Skull Soldier"
99	250	0	0	"Giant Ogre"
111	200	0	0	"Red Skeleton Knight"
112	260	0	0	"Magic Skeleton"
//블러드캐슬4				
113	250	0	0	"Chief Skeleton Warrior"
114	250	0	0	"Chief Skeleton Archer"
115	250	0	0	"Dark Skull Soldier"
116	250	0	0	"Giant Ogre"
117	200	0	0	"Red Skeleton Knight"
118	260	0	0	"Magic Skeleton"
//블러드캐슬5				
119	250	0	0	"Chief Skeleton Warrior"
120	250	0	0	"Chief Skeleton Archer"
121	250	0	0	"Dark Skull Soldier"
122	250	0	0	"Giant Ogre"
123	200	0	0	"Red Skeleton Knight"
124	260	0	0	"Magic Skeleton"
//블러드캐슬6				
125	250	0	0	"Chief Skeleton Warrior"
126	250	0	0	"Chief Skeleton Archer"
127	250	0	0	"Dark Skull Soldier"
128	250	0	0	"Giant Ogre"
129	200	0	0	"Red Skeleton Knight"
130	260	0	0	"Magic Skeleton"
131	350	0	0	"Castle Gate"
132	1	0	0	"Statue of Saint"
133	1	0	0	"Statue of Saint"
134	1	0	0	"Statue of Saint"
				
// 반지의 전쟁				
135	360	0	0	"White wizard"
136	290	0	0	"Destructive ogre soldier"
137	270	0	0	"Destructive ogre archer"
				
//블러드캐슬7				
138	250	0	0	"Chief Skeleton Warrior"
139	250	0	0	"Chief Skeleton Archer"
140	250	0	0	"Dark Skull Soldier"
141	250	0	0	"Giant Ogre"
142	200	0	0	"Red Skeleton Knight"
143	260	0	0	"Magic Skeleton"
				
//칼리마_오후 7:05 2004-08-25				
// 1 칼리마				
147	295	0	0	"Aegis"
148	250	0	0	"Rogue Centurion"
146	285	0	0	"Blood Soldier"
144	250	0	0	"Death Angel"
149	270	0	0	"Necron"
145	360	0	0	"Death Centurion"
160	400	0	0	"Schriker"
161	500	0	0	"Illusion of Kundun"
// 2 칼리마				
177	295	0	0	"Aegis"
178	250	0	0	"Rogue Centurion"
176	285	0	0	"Blood Soldier"
174	250	0	0	"Death Angel"
179	270	0	0	"Necron"
175	360	0	0	"Death Centurion"
180	400	0	0	"Schriker"
181	500	0	0	"Illusion of Kundun"
// 3 칼리마				
185	295	0	0	"Aegis"
186	250	0	0	"Rogue Centurion"
184	285	0	0	"Blood Soldier"
182	250	0	0	"Death Angel"
187	270	0	0	"Necron"
183	360	0	0	"Death Centurion"
188	400	0	0	"Schriker"
189	500	0	0	"Illusion of Kundun"
// 4 칼리마				
193	295	0	0	"Aegis"
194	250	0	0	"Rogue Centurion"
192	285	0	0	"Blood Soldier"
190	250	0	0	"Death Angel"
195	270	0	0	"Necron"
191	360	0	0	"Death Centurion"
